Title,Artist,Peak_Position,Song ID,Song Popularity,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence,Tempo,Instrumentalness,Loudness,Date
Can't Get You Out Of My Head,Kylie Minogue,7,7zrH34w0Cl3yehR1dcE5DF,13.0,0.0269,0.768,0.55,0.08900000000000001,0.034,0.965,126.01299999999999,0.578,-7.604,2002-01-23
Can't Help But Wait,Trey Songz,14,0XHnFk7TJQAfLQn6gqKZdX,0.0,0.7440000000000001,0.835,0.486,0.0997,0.0856,0.382,94.98899999999999,0.0292,-16.578,2007-10-03
Can't Hold Us Down,Christina Aguilera Featuring Lil' Kim,12,,,,,,,,,,,,2003-07-30
Can't Leave 'Em Alone,Ciara Featuring 50 Cent,40,,,,,,,,,,,,2007-08-01
Can't Let Go,Anthony Hamilton,71,3sp8Ui6Gv4NIyMrSq0K1mv,0.0,0.297,0.73,0.34600000000000003,0.0789,0.0295,0.466,128.0,0.7040000000000001,-7.569,2006-03-15
Can't Let You Go,Fabolous Featuring Mike Shorey & Lil' Mo,4,,,,,,,,,,,,2003-03-05
Can't Nobody,Kelly Rowland,97,,,,,,,,,,,,2003-03-05
Can't Stop Loving You,Phil Collins,76,3GlROiaxRY8Vz9yjgnxEUM,0.0,0.091,0.7390000000000001,0.858,0.109,0.0653,0.642,124.991,2.9999999999999997e-05,-7.496,2003-01-29
Can't Stop,Red Hot Chili Peppers,57,46wmFG5MUYzJP2XZuH1P85,9.0,0.981,0.672,0.109,0.08199999999999999,0.0438,0.395,130.01,0.941,-22.646,2003-02-05
"Can't Stop, Won't Stop",Young Gunz,14,1kgDlypHy9hCvCxeoCtd7X,18.0,0.007090000000000001,0.855,0.7879999999999999,0.358,0.21899999999999997,0.809,99.992,0.0,-3.0410000000000004,2003-08-06
Can't Tell Me Nothing,Kanye West,41,5Au5F8XVL9cGbtorkiHoyV,0.0,0.996,0.588,0.00355,0.10300000000000001,0.0793,0.631,77.813,0.9590000000000001,-34.613,2007-06-13
