Artist,Song,WeeksAtNumberOne,Song ID,Song Popularity,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence,Tempo,Instrumentalness,Loudness
50 Cent featuringÂ Nate Dogg,"""21 Questions""",4,,,,,,,,,,,
Britney Spears,"""3""",1,1aBIgBEcHtq4YdaS432JVJ,11.0,0.953,0.575,0.0672,0.101,0.037,0.151,75.007,0.824,-16.826
Kelly Clarkson,"""A Moment Like This""",2,1ueJSxJQfPYQbVGsAC4wj1,0.0,0.554,0.522,0.346,0.187,0.0273,0.136,73.137,0,-9.376
Jennifer Lopez featuring Ja Rule,"""Ain't It Funny""",6,,,,,,,,,,,
Janet Jackson,"""All For You""",7,08f4ZQekvmfwldVc2rwdDn,31.0,0.0106,0.777,0.875,0.29,0.125,0.73,113.508,0.0211,-4.626
Jennifer Lopez featuringÂ LL Cool J,"""All I Have""",4,,,,,,,,,,,
Ja Rule featuringÂ Ashanti,"""Always on Time""",2,,,,,,,,,,,
Lonestar,"""Amazed""",2,1qx4y4W9HPAmv6SaLoOQMZ,2.0,0.253,0.525,0.631,0.0979,0.0293,0.24,139.714,0,-5.575
Shaggy featuringÂ Rayvon,"""Angel""",1,,,,,,,,,,,
BeyoncÃ© featuring Sean Paul,"""Baby Boy""",9,,,,,,,,,,,
Daniel Powter,"""Bad Day""?",5,0RuyzdkMQ7HjdedxF7etu6,7.0,0.473,0.579,0.813,0.124,0.0316,0.552,140.086,0.00412,-3.249
Enrique Iglesias,"""Be With You""",3,1DSzAJYDLQ9TSMCSufCskn,0.0,0.273,0.828,0.454,0.11,0.0739,0.3,122.039,0.00103,-14.78
Sean Kingston,"""Beautiful Girls""",4,2c9LgIsT8wzzSueFttylFF,22.0,0.169,0.764,0.65,0.298,0.0673,0.766,130.021,0,-6.114
Matchbox Twenty,"""Bent""",1,2kbmMpqyrSncwByr5Rmcv4,2.0,0.0264,0.475,0.465,0.353,0.0259,0.455,93.01,0.391,-7.451
Fergie,"""Big Girls Don't Cry""",1,1TJPO9qbNBudgq3gKds1h5,3.0,0.229,0.697,0.532,0.11,0.0315,0.371,113.084,0,-6.312
Leona Lewis,"""Bleeding Love""",4,2yoBbu5aFghiX5Zqe9AXXO,12.0,0.914,0.462,0.336,0.103,0.141,0.436,204.006,0.123,-11.633
The Black Eyed Peas,"""Boom Boom Pow""?",12,7Jm07RxVBoIiPf5gE9qozF,10.0,0.199,0.814,0.739,0.0886,0.0952,0.616,130.07,8.1e-05,-7.377
Destiny's Child,"""Bootylicious""",2,0Dxjybms4JtMv4u5dPOSDb,2.0,0.103,0.763,0.703,0.307,0.224,0.678,97.871,0,-2.803
B2KÂ featuringÂ P. Diddy,"""Bump, Bump, Bump""",1,,,,,,,,,,,
Usher,"""Burn""",8,,,,,,,,,,,
Crazy Town,"""Butterfly""",2,0AzZFdsbtOMoSlDGHG08pR,4.0,0.000662,0.646,0.949,0.0915,0.0977,0.682,103.444,0.00164,-1.183
T-PainÂ featuringÂ Yung Joc,"""Buy U a Drank (Shawty Snappin')""",1,,,,,,,,,,,
50 Cent featuringÂ Olivia,"""Candy Shop""",9,,,,,,,,,,,
BeyoncÃ© featuringÂ Slim Thug,"""Check on It""",5,,,,,,,,,,,
Christina Aguilera,"""Come On Over Baby (All I Want Is You)""",4,51QRBeTWl9Uqe1IBr3Nt2C,0.0,0.000853,0.812,0.783,0.0773,0.0633,0.798,118.005,0.961,-13.412
Usher,"""Confessions Part II""",2,1CMKPsB01UL6KKFTlcrdCK,0.0,0.0191,0.764,0.539,0.121,0.0629,0.86,138.086,2.98e-05,-8.302
Eminem featuringÂ Dr. DreÂ and 50 Cent,"""Crack a Bottle""",1,,,,,,,,,,,
Soulja Boy,"""Crank That (Soulja Boy)""",7,3hod16PDX5k0QDfY1p4j6y,6.0,0.0391,0.611,0.972,0.192,0.0348,0.567,134.98,0.00217,-5.01
BeyoncÃ©Â featuringÂ Jay-Z,"""Crazy in Love""",8,,,,,,,,,,,
Nelly featuringÂ Kelly Rowland,"""Dilemma""",10,,,,,,,,,,,
Rihanna,"""Disturbia""",2,4gu5qSI57tgmAkFjXGQyg6,10.0,0.104,0.711,0.817,0.303,0.0627,0.689,124.943,0,-4.032
Taylor Hicks,"""Do I Make You Proud""",1,3M0QGxhBDs8DCyZ0cMGZDy,0.0,0.000397,0.545,0.445,0.0934,0.0276,0.306,144.027,0.502,-11.426
Janet Jackson,"""Doesn't Really Matter""",3,2HdAjTKupcSQ7TuGyvg7Pn,0.0,0.547,0.809,0.507,0.108,0.0514,0.674,99.296,7.69e-06,-12.441
Mariah Carey,"""Don't Forget About Us""",2,6nlozzR7zMcvUYwVWvlDf2,0.0,0.0508,0.565,0.589,0.167,0.0503,0.422,70.895,0,-6.873
Akon,"""Don't Matter""",2,1d2r6r0TsJVyiMHWcQIVli,0.0,0.0493,0.658,0.309,0.151,0.0392,0.642,62.596,0.125,-12.33
Jay SeanÂ featuring Lil Wayne,"""Down""",2,,,,,,,,,,,
Snoop DoggÂ featuringÂ Pharrell,"""Drop It Like It's Hot""",3,,,,,,,,,,,
Jay-Z featuring Alicia Keys,"""Empire State of Mind""",5,,,,,,,,,,,
Vertical Horizon,"""Everything You Want""",1,63DgDz9kHkcYn5ROvGgkne,29.0,0.00398,0.478,0.486,0.091,0.0278,0.0721,140.964,7.73e-06,-7.385
Alicia Keys,"""Fallin'""",6,4PdzZaoE0pqMUrbeoDGfR7,8.0,0.209,0.647,0.693,0.223,0.0349,0.498,95.967,0.000217,-5.56
Mary J. Blige,"""Family Affair""",6,4V5tfMQdADqtRSPF49SHHo,0.0,0.62,0.899,0.54,0.0611,0.0346,0.943,92.879,0.453,-8.176
Owl City,"""Fireflies""",2,72v7OFrv5SQ6mmDhUnnHtK,0.0,0.642,0.613,0.428,0.125,0.0375,0.377,89.956,0.000212,-16.798
Ashanti,"""Foolish""",10,20dQ8FlWnFAlGeynQcc5BU,3.0,0.183,0.821,0.479,0.0473,0.0771,0.934,90.109,2.68e-05,-9.45
Sean Paul,"""Get Busy""",3,1cdZuDLXNnnA25KDKplOSC,0.0,0.68,0.543,0.736,0.371,0.0671,0.943,200.361,6.06e-05,-10.996
Avril Lavigne,"""Girlfriend""",1,2RKry0xyQmB7lqIx3ilfny,11.0,0.000672,0.554,0.962,0.246,0.098,0.55,164.075,0.000473,-1.906
Timbaland featuring Nelly Furtado and Justin Timberlake,"""Give It To Me""",2,,,,,,,,,,,
Fergie featuring Ludacris,"""Glamorous""",2,,,,,,,,,,,
Kanye West featuring Jamie Foxx,"""Gold Digger""",10,,,,,,,,,,,
CiaraÂ featuringÂ Petey Pablo,"""Goodies""",7,,,,,,,,,,,
