Artist,Song,WeeksAtNumberOne,Song ID,Song Popularity,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence,Tempo,Instrumentalness,Loudness
B. J. Thomas,"""(Hey Won't You Play) Another Somebody Done Somebody Wrong Song""",1,,,,,,,,,,,
Andy Gibb,"""(Love Is) Thicker Than Water""",2,5cYMRbjpUrlPJNrGbkWqmw,0.0,0.0394,0.615,0.456,0.139,0.0326,0.3,95.991,0.165,-14.769
KC and the Sunshine Band,"""(Shake, Shake, Shake) Shake Your Booty""",1,0JZkinugMu3U8YcIMRUtoU,4.0,0.169,0.651,0.945,0.15,0.0361,0.939,112.292,0.475,-7.922
The Carpenters,"""(They Long to Be) Close to You""",4,4Ny6mOnfPKMc1pgYQvzgYb,23.0,0.755,0.556,0.248,0.111,0.0357,0.237,88.953,1.53e-05,-13.187
Paul AnkaÂ andÂ Odia Coates,"""(You're) Having My Baby""",3,,,,,,,,,,,
Paul Simon,"""50 Ways to Leave Your Lover""",3,1W29pRn7rvT8st26Jcu91v,2.0,0.939,0.454,0.319,0.0567,0.0426,0.249,98.689,0.0153,-7.807
Walter Murphy and the Big Apple Band,"""A Fifth of Beethoven""",1,,,,,,,,,,,
America,"""A Horse with No Name""",3,4b8Pec6Tewj9ySAsOEfccM,20.0,0.686,0.654,0.506,0.155,0.0535,0.831,123.179,0.0155,-17.18
The Jackson 5,"""ABC""",2,00Y6j6FJCEI9hbgXcEj2Rl,26.0,0.441,0.723,0.84,0.125,0.0395,0.934,93.594,8.26e-05,-5.588
Starland Vocal Band,"""Afternoon Delight""",2,7j8o0gOLJQ9IBD3nET0gwX,0.0,0.0356,0.499,0.467,0.163,0.0248,0.691,143.977,7.7e-06,-11.913
Diana Ross,"""Ain't No Mountain High Enough""",3,7CPSm3saPIrGCowL2KW25d,17.0,0.285,0.379,0.784,0.0952,0.0359,0.588,100.265,0.00478,-5.614
Gilbert O'Sullivan,"""Alone Again (Naturally)""",6,3ULwXWjJ1qhN6kRfn6VFfR,0.0,0.261,0.536,0.653,0.115,0.0253,0.548,174.091,0.703,-7.775
Don McLean,"""American Pie""",4,7guAeW6crMjZUuY1Xjd5li,32.0,0.402,0.583,0.759,0.792,0.0312,0.974,138.183,0,-10.761
The Guess Who,"""American Woman"" / ""No Sugar Tonight""",3,,,,,,,,,,,
Helen Reddy,"""Angie Baby""",1,1f9qHVqIw9nsvsAHEKi6kT,6.0,0.458,0.732,0.328,0.164,0.0874,0.567,76.404,4.25e-06,-13.436
The Rolling Stones,"""Angie""",1,5djxnck9YQRUv8XSrhDgd2,20.0,0.526,0.375,0.707,0.905,0.0378,0.433,78.032,1.95e-06,-7.869
John Denver,"""Annie's Song""",2,25VVO01F1MM44WS1D7NZiO,20.0,0.878,0.337,0.299,0.37,0.0299,0.424,146.206,0.0017,-10.859
Styx,"""Babe""",2,339k4DR51cjMiyHdMDboVR,0.0,0.006,0.486,0.673,0.574,0.0273,0.581,142.034,0.73,-9.065
Player,"""Baby Come Back""",3,6U7cmves0Yyo4spNz3gj5b,11.0,0.00676,0.724,0.682,0.105,0.0234,0.745,104.978,6.99e-05,-7.297
Mac Davis,"""Baby, Don't Get Hooked on Me""",3,6l7TalwksB0XF8VA331jW5,12.0,0.14,0.627,0.409,0.34,0.0378,0.916,84.645,2.65e-05,-18.13
Neil Sedaka,"""Bad Blood""",3,1r2fxziN1Ipd3ymy9rhLuE,0.0,0.0333,0.6,0.565,0.423,0.0382,0.857,154.997,0.95,-14.529
Donna Summer,"""Bad Girls""",5,3N36Ew5PatZxaSEIS8Nbrx,34.0,0.00441,0.835,0.912,0.403,0.0449,0.967,120.401,0.00746,-5.106
Jim Croce,"""Bad, Bad Leroy Brown""",2,10FxNGF92CJUT7fvg9Hxrx,4.0,0.674,0.489,0.584,0.106,0.0357,0.582,147.963,0.626,-6.165
Paul McCartney and Wings,"""Band on the Run""",1,,,,,,,,,,,
Freddy Fender,"""Before the Next Teardrop Falls""",1,5cGEd9D8gMuI46dTePq9fR,19.0,0.752,0.794,0.193,0.106,0.0342,0.722,91.041,0,-13.431
Michael Jackson,"""Ben""",1,6KnZ1CjqZXlWZdsra4ObEg,23.0,0.257,0.723,0.838,0.0845,0.0621,0.962,130.806,0.000279,-6.189
Elton John,"""Bennie and the Jets""",1,2A0Q7mrmaomLtJSiOiezsa,21.0,0.221,0.612,0.798,0.993,0.0393,0.719,132.629,0.00146,-9.764
Eagles,"""Best of My Love""",1,,,,,,,,,,,
The Emotions,"""Best of My Love""",5,0dUunhD4gXm9dJDyP8hb8X,24.0,0.226,0.64,0.503,0.401,0.0391,0.878,93.629,0.015,-13.569
Bo Donaldson and The Heywoods,"""Billy, Don't Be a Hero""",2,6yuhj4EY0Wbz3hF9kpW9xD,0.0,0.00186,0.679,0.719,0.113,0.035,0.677,124.195,0.647,-13.83
The Doobie Brothers,"""Black Water""",1,4ly0LepYVkZvEvnEZmjASX,14.0,0.179,0.365,0.703,0.989,0.0619,0.554,170.164,0,-11.789
Three Dog Night,"""Black and White""",1,3VCKBAQncQbPZzEvazYJOM,0.0,0.763,0.723,0.461,0.0949,0.0319,0.671,109.993,0.00131,-8.295
Manfred Mann's Earth Band,"""Blinded by the Light""",1,6UJBGODVe10jciwK3CWqbR,4.0,0.21,0.391,0.656,0.814,0.0465,0.442,142.703,5.15e-05,-10.408
The Sylvers,"""Boogie Fever""",1,4E2PBF5vXFfVMAaj4dVG7Y,0.0,0.383,0.605,0.154,0.0705,0.929,0.339,211.755,0,-15.019
A Taste of Honey,"""Boogie Oogie Oogie""",3,1Lib5ywE1fRKDCQ8yvxBQd,13.0,0.111,0.794,0.505,0.167,0.0331,0.894,125.371,0.00555,-10.581
Melanie,"""Brand New Key""",3,3cwexgYeAaMtv4cw1aQyV1,3.0,0.324,0.666,0.618,0.137,0.0361,0.938,79.887,0,-6.401
Looking Glass,"""Brandy (You're a Fine Girl)""",1,2E73Y5TZsw610dNya72ONR,15.0,0.602,0.739,0.453,0.0893,0.0326,0.864,126.906,0,-14.082
