DateHitNumberOne,Artist,Song,WeeksAtNumberOne
17-Aug-74,Paper Lace,"""The Night Chicago Died""",1
24-Aug-74,Paul Anka and Odia Coates,"""(You're) Having My Baby""",3
14-Sep-74,Eric Clapton,"""I Shot the Sheriff""",1
21-Sep-74,Barry White,"""Can't Get Enough of Your Love, Babe""",1
28-Sep-74,Andy Kim,"""Rock Me Gently""",1
5-Oct-74,Olivia Newton-John,"""I Honestly Love You""",2
19-Oct-74,Billy Preston,"""Nothing from Nothing""",1
26-Oct-74,Dionne Warwick and The Spinners,"""Then Came You""",1
2-Nov-74,Stevie Wonder,"""You Haven't Done Nothin'""",1
9-Nov-74,Bachman-Turner Overdrive,"""You Ain't Seen Nothing Yet""",1
16-Nov-74,John Lennon,"""Whatever Gets You Thru the Night""",1
23-Nov-74,Billy Swan,"""I Can Help""",2
7-Dec-74,Carl Douglas,"""Kung Fu Fighting""",2
21-Dec-74,Harry Chapin,"""Cat's in the Cradle""",1
28-Dec-74,Helen Reddy,"""Angie Baby""",1
4-Jan-75,Elton John,"""Lucy in the Sky with Diamonds""",2
18-Jan-75,Barry Manilow,"""Mandy""",1
25-Jan-75,The Carpenters,"""Please Mr. Postman""",1
1-Feb-75,Neil Sedaka,"""Laughter in the Rain""",1
8-Feb-75,Ohio Players,"""Fire""",1
15-Feb-75,Linda Ronstadt,"""You're No Good""",1
22-Feb-75,Average White Band,"""Pick Up the Pieces""",1
1-Mar-75,Eagles,"""Best of My Love""",1
8-Mar-75,Olivia Newton-John,"""Have You Never Been Mellow""",1
15-Mar-75,The Doobie Brothers,"""Black Water""",1
22-Mar-75,Frankie Valli,"""My Eyes Adored You""",1
29-Mar-75,LaBelle,"""Lady Marmalade""",1
5-Apr-75,Minnie Riperton,"""Lovin' You""",1
12-Apr-75,Elton John,"""Philadelphia Freedom""",2
26-Apr-75,B. J. Thomas,"""(Hey Won't You Play) Another Somebody Done Somebody Wrong Song""",1
3-May-75,Tony Orlando and Dawn,"""He Don't Love You (Like I Love You)""",3
24-May-75,"Earth, Wind & Fire","""Shining Star""",1
31-May-75,Freddy Fender,"""Before the Next Teardrop Falls""",1
7-Jun-75,John Denver,"""Thank God I'm a Country Boy""",1
14-Jun-75,America,"""Sister Golden Hair""",1
21-Jun-75,Captain & Tennille,"""Love Will Keep Us Together""? (1975)",4
19-Jul-75,Paul McCartney and Wings,"""Listen to What the Man Said""",1
26-Jul-75,Van McCoy and the Soul City Symphony,"""The Hustle""",1
2-Aug-75,Eagles,"""One of These Nights""",1
9-Aug-75,Bee Gees,"""Jive Talkin'""",2
23-Aug-75,"Hamilton, Joe Frank & Reynolds","""Fallin' in Love""",1
30-Aug-75,KC and the Sunshine Band,"""Get Down Tonight""",1
6-Sep-75,Glen Campbell,"""Rhinestone Cowboy""",2
20-Sep-75,David Bowie,"""Fame""",2
27-Sep-75,John Denver,"""I'm Sorry"" / ""Calypso""",1
11-Oct-75,Neil Sedaka,"""Bad Blood""",3
1-Nov-75,Elton John,"""Island Girl""",3
22-Nov-75,KC and the Sunshine Band,"""That's the Way (I Like It)""",2
29-Nov-75,Silver Convention,"""Fly, Robin, Fly""",3
27-Dec-75,The Staple Singers,"""Let's Do It Again""",1
3-Jan-76,Bay City Rollers,"""Saturday Night""",1
10-Jan-76,C. W. McCall,"""Convoy""",1
17-Jan-76,Barry Manilow,"""I Write the Songs""",1
24-Jan-76,Diana Ross,"""Theme from Mahogany (Do You Know Where You're Going To)""",1
31-Jan-76,Ohio Players,"""Love Rollercoaster""",1
7-Feb-76,Paul Simon,"""50 Ways to Leave Your Lover""",3
28-Feb-76,Rhythm Heritage,"""Theme From S.W.A.T.""",1
6-Mar-76,The Miracles,"""Love Machine (Part 1)""",1
13-Mar-76,The Four Seasons,"""December 1963 (Oh, What a Night)""",3
3-Apr-76,Johnnie Taylor,"""Disco Lady""",4
1-May-76,The Bellamy Brothers,"""Let Your Love Flow""",1
8-May-76,John Sebastian,"""Welcome Back""",1
15-May-76,The Sylvers,"""Boogie Fever""",1
22-May-76,Wings,"""Silly Love Songs""? (1976)",5
29-May-76,Diana Ross,"""Love Hangover""",2
10-Jul-76,Starland Vocal Band,"""Afternoon Delight""",2
24-Jul-76,The Manhattans,"""Kiss and Say Goodbye""",2
7-Aug-76,Elton John and Kiki Dee,"""Don't Go Breaking My Heart""",4
4-Sep-76,Bee Gees,"""You Should Be Dancing""",1
11-Sep-76,KC and the Sunshine Band,"""(Shake, Shake, Shake) Shake Your Booty""",1
18-Sep-76,Wild Cherry,"""Play That Funky Music""",3
9-Oct-76,Walter Murphy and the Big Apple Band,"""A Fifth of Beethoven""",1
16-Oct-76,Rick Dees and His Cast of Idiots,"""Disco Duck (part 1)""",1
23-Oct-76,Chicago,"""If You Leave Me Now""",2
6-Nov-76,Steve Miller Band,"""Rock'n Me""",1
13-Nov-76,Rod Stewart,"""Tonight's the Night (Gonna Be Alright)""? (1977)",8
8-Jan-77,"Marilyn McCoo and Billy Davis, Jr.","""You Don't Have to Be a Star (To Be in My Show)""",1
15-Jan-77,Leo Sayer,"""You Make Me Feel Like Dancing""",1
22-Jan-77,Stevie Wonder,"""I Wish""",1
29-Jan-77,Rose Royce,"""Car Wash""",1
5-Feb-77,Mary MacGregor,"""Torn Between Two Lovers""",2
19-Feb-77,Manfred Mann's Earth Band,"""Blinded by the Light""",1
26-Feb-77,Eagles,"""New Kid in Town""",1
5-Mar-77,Barbra Streisand,"""Love Theme From A Star Is Born (Evergreen)""",3
26-Mar-77,Daryl Hall and John Oates,"""Rich Girl""",2
9-Apr-77,ABBA,"""Dancing Queen""",1
16-Apr-77,David Soul,"""Don't Give Up on Us""",1
23-Apr-77,Thelma Houston,"""Don't Leave Me This Way""",1
30-Apr-77,Glen Campbell,"""Southern Nights""",1
7-May-77,Eagles,"""Hotel California""",1
14-May-77,Leo Sayer,"""When I Need You""",1
21-May-77,Stevie Wonder,"""Sir Duke""",3
11-Jun-77,KC and the Sunshine Band,"""I'm Your Boogie Man""",1
18-Jun-77,Fleetwood Mac,"""Dreams""",1
25-Jun-77,Marvin Gaye,"""Got to Give It Up (Part 1)""",1
2-Jul-77,Bill Conti,"""Gonna Fly Now (Theme From Rocky)""",1
9-Jul-77,Alan O'Day,"""Undercover Angel""",1
16-Jul-77,Shaun Cassidy,"""Da Doo Ron Ron""",1
23-Jul-77,Barry Manilow,"""Looks Like We Made It""",1
30-Jul-77,Andy Gibb,"""I Just Want to Be Your Everything""",4
20-Aug-77,The Emotions,"""Best of My Love""",5
1-Oct-77,Meco,"""Star Wars Theme/Cantina Band""",2
15-Oct-77,Debby Boone,"""You Light Up My Life""",10
24-Dec-77,Bee Gees,"""How Deep Is Your Love""",3
14-Jan-78,Player,"""Baby Come Back""",3
4-Feb-78,Bee Gees,"""Stayin' Alive""",4
4-Mar-78,Andy Gibb,"""(Love Is) Thicker Than Water""",2
18-Mar-78,Bee Gees,"""Night Fever""",8
13-May-78,Yvonne Elliman,"""If I Can't Have You""",1
20-May-78,Wings,"""With a Little Luck""",2
3-Jun-78,Johnny Mathis and Deniece Williams,"""Too Much, Too Little, Too Late""",1
10-Jun-78,John Travolta and Olivia Newton-John,"""You're the One That I Want""",1
17-Jun-78,Andy Gibb,"""Shadow Dancing""? (1978)",7
5-Aug-78,The Rolling Stones,"""Miss You""",1
12-Aug-78,Commodores,"""Three Times a Lady""",2
26-Aug-78,Frankie Valli,"""Grease""",2
9-Sep-78,A Taste of Honey,"""Boogie Oogie Oogie""",3
30-Sep-78,Exile,"""Kiss You All Over""",4
28-Oct-78,Nick Gilder,"""Hot Child in the City""",1
4-Nov-78,Anne Murray,"""You Needed Me""",1
11-Nov-78,Donna Summer,"""MacArthur Park""",3
2-Dec-78,Barbra Streisand and Neil Diamond,"""You Don't Bring Me Flowers""",2
9-Dec-78,Chic,"""Le Freak""",6
6-Jan-79,Bee Gees,"""Too Much Heaven""",2
10-Feb-79,Rod Stewart,"""Da Ya Think I'm Sexy?""",4
10-Mar-79,Gloria Gaynor,"""I Will Survive""",3
24-Mar-79,Bee Gees,"""Tragedy""",2
14-Apr-79,The Doobie Brothers,"""What a Fool Believes""",1
21-Apr-79,Amii Stewart,"""Knock on Wood""",1
28-Apr-79,Blondie,"""Heart of Glass""",1
5-May-79,Peaches & Herb,"""Reunited""",4
2-Jun-79,Donna Summer,"""Hot Stuff""",3
9-Jun-79,Bee Gees,"""Love You Inside Out""",1
30-Jun-79,Anita Ward,"""Ring My Bell""",2
14-Jul-79,Donna Summer,"""Bad Girls""",5
18-Aug-79,Chic,"""Good Times""",1
25-Aug-79,The Knack,"""My Sharona""? (1979)",6
6-Oct-79,Robert John,"""Sad Eyes""",1
13-Oct-79,Michael Jackson,"""Don't Stop 'til You Get Enough""",1
20-Oct-79,Herb Alpert,"""Rise""",2
3-Nov-79,M,"""Pop Muzik""",1
10-Nov-79,Eagles,"""Heartache Tonight""",1
17-Nov-79,Commodores,"""Still""",1
24-Nov-79,Barbra Streisand and Donna Summer,"""No More Tears (Enough Is Enough)""",2
8-Dec-79,Styx,"""Babe""",2
22-Dec-79,Rupert Holmes,"""Escape (The Piña Colada Song)""",3
