DateHitNumberOne,Artist,Song,WeeksAtNumberOne
3-Jan-70,B. J. Thomas,"""Raindrops Keep Fallin' On My Head""",4
31-Jan-70,The Jackson 5,"""I Want You Back""",1
7-Feb-70,Shocking Blue,"""Venus""",1
14-Feb-70,Sly & the Family Stone,"""Thank You (Falettinme Be Mice Elf Agin)"" / ""Everybody Is a Star""",2
28-Feb-70,Simon & Garfunkel,"""Bridge Over Troubled Water""? (1970)",6
11-Apr-70,The Beatles,"""Let It Be""",2
25-Apr-70,The Jackson 5,"""ABC""",2
9-May-70,The Guess Who,"""American Woman"" / ""No Sugar Tonight""",3
30-May-70,Ray Stevens,"""Everything Is Beautiful""",2
13-Jun-70,The Beatles,"""The Long and Winding Road"" / ""For You Blue""",2
27-Jun-70,The Jackson 5,"""The Love You Save""",2
11-Jul-70,Three Dog Night,"""Mama Told Me (Not to Come)""",2
25-Jul-70,The Carpenters,"""(They Long to Be) Close to You""",4
22-Aug-70,Bread,"""Make It with You""",1
29-Aug-70,Edwin Starr,"""War""",3
19-Sep-70,Diana Ross,"""Ain't No Mountain High Enough""",3
10-Oct-70,Neil Diamond,"""Cracklin' Rosie""",1
17-Oct-70,The Jackson 5,"""I'll Be There""",5
21-Nov-70,The Partridge Family,"""I Think I Love You""",3
12-Dec-70,Smokey Robinson & the Miracles,"""The Tears of a Clown""",2
26-Dec-70,George Harrison,"""My Sweet Lord"" / ""Isn't It a Pity""",4
23-Jan-71,Tony Orlando and Dawn,"""Knock Three Times""",3
13-Feb-71,The Osmonds,"""One Bad Apple""",5
20-Mar-71,Janis Joplin,"""Me and Bobby McGee""",2
3-Apr-71,The Temptations,"""Just My Imagination (Running Away with Me)""",2
17-Apr-71,Three Dog Night,"""Joy to the World""? (1971)",6
29-May-71,The Rolling Stones,"""Brown Sugar""",2
12-Jun-71,The Honey Cone,"""Want Ads""",1
19-Jun-71,Carole King,"""It's Too Late"" / ""I Feel the Earth Move""",5
24-Jul-71,Paul Revere & the Raiders,"""Indian Reservation (The Lament of the Cherokee Reservation Indian)""",1
31-Jul-71,James Taylor,"""You've Got a Friend""",1
7-Aug-71,Bee Gees,"""How Can You Mend a Broken Heart""",4
4-Sep-71,Paul McCartney and Linda McCartney,"""Uncle Albert/Admiral Halsey""",1
11-Sep-71,Donny Osmond,"""Go Away Little Girl""",3
2-Oct-71,Rod Stewart,"""Maggie May"" / ""Reason to Believe""",5
6-Nov-71,Cher,"""Gypsys, Tramps & Thieves""",2
20-Nov-71,Isaac Hayes,"""Theme from Shaft""",2
4-Dec-71,Sly and the Family Stone,"""Family Affair""",3
25-Dec-71,Melanie,"""Brand New Key""",3
15-Jan-72,Don McLean,"""American Pie""",4
12-Feb-72,Al Green,"""Let's Stay Together""",1
19-Feb-72,Nilsson,"""Without You""",4
18-Mar-72,Neil Young,"""Heart of Gold""",1
25-Mar-72,America,"""A Horse with No Name""",3
15-Apr-72,Roberta Flack,"""The First Time Ever I Saw Your Face""? (1972)",6
27-May-72,The Chi-Lites,"""Oh Girl""",1
3-Jun-72,The Staple Singers,"""I'll Take You There""",1
10-Jun-72,Sammy Davis Jr.,"""Candy Man""",3
1-Jul-72,Neil Diamond,"""Song Sung Blue""",1
8-Jul-72,Bill Withers,"""Lean On Me""",3
29-Jul-72,Gilbert O'Sullivan,"""Alone Again (Naturally)""",6
26-Aug-72,Looking Glass,"""Brandy (You're a Fine Girl)""",1
16-Sep-72,Three Dog Night,"""Black and White""",1
23-Sep-72,Mac Davis,"""Baby, Don't Get Hooked on Me""",3
14-Oct-72,Michael Jackson,"""Ben""",1
21-Oct-72,Chuck Berry,"""My Ding-a-ling""",2
4-Nov-72,Johnny Nash,"""I Can See Clearly Now""",4
2-Dec-72,The Temptations,"""Papa Was a Rollin' Stone""",1
9-Dec-72,Helen Reddy,"""I Am Woman""",1
16-Dec-72,Billy Paul,"""Me and Mrs. Jones""",3
6-Jan-73,Carly Simon,"""You're So Vain""",3
27-Jan-73,Stevie Wonder,"""Superstition""",1
3-Feb-73,Elton John,"""Crocodile Rock""",3
24-Feb-73,Roberta Flack,"""Killing Me Softly with His Song""",5
24-Mar-73,The O'Jays,"""Love Train""",1
7-Apr-73,Vicki Lawrence,"""The Night the Lights Went Out in Georgia""",2
21-Apr-73,Tony Orlando and Dawn,"""Tie a Yellow Ribbon Round the Ole Oak Tree""? (1973)",4
19-May-73,Stevie Wonder,"""You Are the Sunshine of My Life""",1
26-May-73,The Edgar Winter Group,"""Frankenstein""",1
2-Jun-73,Paul McCartney and Wings,"""My Love""",4
30-Jun-73,George Harrison,"""Give Me Love (Give Me Peace On Earth)""",1
7-Jul-73,Billy Preston,"""Will It Go Round in Circles""",2
21-Jul-73,Jim Croce,"""Bad, Bad Leroy Brown""",2
4-Aug-73,Maureen McGovern,"""The Morning After""",2
18-Aug-73,Diana Ross,"""Touch Me in the Morning""",1
25-Aug-73,Stories,"""Brother Louie""",2
8-Sep-73,Marvin Gaye,"""Let's Get It On""",2
15-Sep-73,Helen Reddy,"""Delta Dawn""",1
29-Sep-73,Grand Funk,"""We're an American Band""",1
6-Oct-73,Cher,"""Half-Breed""",2
20-Oct-73,The Rolling Stones,"""Angie""",1
27-Oct-73,Gladys Knight & the Pips,"""Midnight Train to Georgia""",2
10-Nov-73,Eddie Kendricks,"""Keep On Truckin'""",2
24-Nov-73,Ringo Starr,"""Photograph""",1
1-Dec-73,The Carpenters,"""Top of the World""",2
15-Dec-73,Charlie Rich,"""The Most Beautiful Girl""",2
29-Dec-73,Jim Croce,"""Time in a Bottle""",2
12-Jan-74,Steve Miller Band,"""The Joker""",1
19-Jan-74,Al Wilson,"""Show and Tell""",1
26-Jan-74,Ringo Starr,"""You're Sixteen""",1
2-Feb-74,Barbra Streisand,"""The Way We Were""? (1974)",3
9-Feb-74,Love Unlimited Orchestra,"""Love's Theme""",1
2-Mar-74,Terry Jacks,"""Seasons in the Sun""",3
23-Mar-74,Cher,"""Dark Lady""",1
30-Mar-74,John Denver,"""Sunshine on My Shoulders""",1
6-Apr-74,Blue Swede,"""Hooked on a Feeling""",1
13-Apr-74,Elton John,"""Bennie and the Jets""",1
20-Apr-74,MFSB and The Three Degrees,"""TSOP""",2
4-May-74,Grand Funk,"""The Loco-Motion""",2
18-May-74,Ray Stevens,"""The Streak""",3
8-Jun-74,Paul McCartney and Wings,"""Band on the Run""",1
15-Jun-74,Bo Donaldson and The Heywoods,"""Billy, Don't Be a Hero""",2
29-Jun-74,Gordon Lightfoot,"""Sundown""",1
6-Jul-74,The Hues Corporation,"""Rock the Boat""",1
13-Jul-74,George McCrae,"""Rock Your Baby""",2
27-Jul-74,John Denver,"""Annie's Song""",2
10-Aug-74,Roberta Flack,"""Feel Like Makin' Love""",1
