DateHitNumberOne,Artist,Song,WeeksAtNumberOne
4-Aug-58,Ricky Nelson,"""Poor Little Fool""",2
18-Aug-58,Domenico Modugno,"""Volare (Nel Blu Dipinto Di Blu)""",5
25-Aug-58,The Elegants,"""Little Star""",1
29-Sep-58,Tommy Edwards,"""It's All in the Game""",6
10-Nov-58,Conway Twitty,"""It's Only Make Believe""",2
17-Nov-58,The Kingston Trio,"""Tom Dooley""",1
1-Dec-58,The Teddy Bears,"""To Know Him Is to Love Him""",3
22-Dec-58,The Chipmunks with David Seville,"""The Chipmunk Song""",4
19-Jan-59,The Platters,"""Smoke Gets in Your Eyes""",3
9-Feb-59,Lloyd Price,"""Stagger Lee""",4
9-Mar-59,Frankie Avalon,"""Venus""",5
13-Apr-59,The Fleetwoods,"""Come Softly to Me""",4
11-May-59,"Dave ""Baby"" Cortez","""The Happy Organ""",1
18-May-59,Wilbert Harrison,"""Kansas City""",2
1-Jun-59,Johnny Horton,"""The Battle of New Orleans""",6
13-Jul-59,Paul Anka,"""Lonely Boy""",4
10-Aug-59,Elvis Presley,"""A Big Hunk o' Love""",2
24-Aug-59,The Browns,"""The Three Bells""",4
21-Sep-59,Santo & Johnny,"""Sleep Walk""",2
5-Oct-59,Bobby Darin,"""Mack the Knife""",9
16-Nov-59,The Fleetwoods,"""Mr. Blue""",1
14-Dec-59,Guy Mitchell,"""Heartaches by the Number""",2
28-Dec-59,Frankie Avalon,"""Why""",1
4-Jan-60,Marty Robbins,"""El Paso""",2
18-Jan-60,Johnny Preston,"""Running Bear""",3
8-Feb-60,Mark Dinning,"""Teen Angel""",1
22-Feb-60,Percy Faith,"""Theme from 'A Summer Place'""",9
25-Apr-60,Elvis Presley,"""Stuck on You""",4
23-May-60,The Everly Brothers,"""Cathy's Clown""",5
27-Jun-60,Connie Francis,"""Everybody's Somebody's Fool""",2
11-Jul-60,Hollywood Argyles,"""Alley-Oop""",1
18-Jul-60,Brenda Lee,"""I'm Sorry""",3
8-Aug-60,Brian Hyland,"""Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini""",1
15-Aug-60,Elvis Presley,"""It's Now or Never""",5
19-Sep-60,Chubby Checker,"""The Twist""",1
26-Sep-60,Connie Francis,"""My Heart Has a Mind of Its Own""",2
10-Oct-60,Larry Verne,"""Mr. Custer""",1
17-Oct-60,The Drifters,"""Save the Last Dance for Me""",3
24-Oct-60,Brenda Lee,"""I Want to Be Wanted""",1
14-Nov-60,Ray Charles,"""Georgia on My Mind""",1
21-Nov-60,Maurice Williams and the Zodiacs,"""Stay""",1
28-Nov-60,Elvis Presley,"""Are You Lonesome Tonight?""",6
9-Jan-61,Bert Kaempfert,"""Wonderland by Night""",3
30-Jan-61,The Shirelles,"""Will You Love Me Tomorrow""",2
13-Feb-61,Lawrence Welk,"""Calcutta""",2
27-Feb-61,Chubby Checker,"""Pony Time""",3
20-Mar-61,Elvis Presley,"""Surrender""",2
3-Apr-61,The Marcels,"""Blue Moon""",3
24-Apr-61,Del Shannon,"""Runaway""",4
22-May-61,Ernie K-Doe,"""Mother-in-Law""",1
29-May-61,Ricky Nelson,"""Travelin' Man""",2
5-Jun-61,Roy Orbison,"""Running Scared""",1
19-Jun-61,Pat Boone,"""Moody River""",1
26-Jun-61,Gary U.S. Bonds,"""Quarter to Three""",2
10-Jul-61,Bobby Lewis,"""Tossin' and Turnin'""",7
28-Aug-61,Joe Dowell,"""Wooden Heart (Muss I Denn)""",1
4-Sep-61,The Highwaymen,"""Michael""",2
18-Sep-61,Bobby Vee,"""Take Good Care of My Baby""",3
9-Oct-61,Ray Charles,"""Hit the Road Jack""",2
23-Oct-61,Dion,"""Runaround Sue""",2
6-Nov-61,Jimmy Dean,"""Big Bad John""",5
11-Dec-61,The Marvelettes,"""Please Mr. Postman""",1
18-Dec-61,The Tokens,"""The Lion Sleeps Tonight""",3
13-Jan-62,Chubby Checker,"""The Twist""",2
27-Jan-62,Joey Dee and the Starliters,"""Peppermint Twist - Part 1""",3
17-Feb-62,Gene Chandler,"""Duke of Earl""",3
10-Mar-62,Bruce Channel,"""Hey! Baby""",3
31-Mar-62,Connie Francis,"""Don't Break the Heart That Loves You""",1
7-Apr-62,Shelley Fabares,"""Johnny Angel""",2
21-Apr-62,Elvis Presley,"""Good Luck Charm""",2
5-May-62,The Shirelles,"""Soldier Boy""",3
26-May-62,Mr. Acker Bilk,"""Stranger on the Shore""? (1962)",1
2-Jun-62,Ray Charles,"""I Can't Stop Loving You""",5
7-Jul-62,David Rose,"""The Stripper""",1
14-Jul-62,Bobby Vinton,"""Roses Are Red (My Love)""",4
11-Aug-62,Neil Sedaka,"""Breaking Up Is Hard to Do""",2
25-Aug-62,Little Eva,"""The Loco-Motion""",1
1-Sep-62,Tommy Roe,"""Sheila""",2
15-Sep-62,The Four Seasons,"""Sherry""",5
20-Oct-62,"Bobby ""Boris"" Pickett and the Crypt-Kickers","""Monster Mash""",2
3-Nov-62,The Crystals,"""He's a Rebel""",2
17-Nov-62,The Four Seasons,"""Big Girls Don't Cry""",5
22-Dec-62,The Tornados,"""Telstar""",3
12-Jan-63,Steve Lawrence,"""Go Away Little Girl""",2
26-Jan-63,The Rooftop Singers,"""Walk Right In""",2
9-Feb-63,Paul & Paula,"""Hey Paula""",3
2-Mar-63,The Four Seasons,"""Walk Like A Man""",3
23-Mar-63,Ruby & the Romantics,"""Our Day Will Come""",1
30-Mar-63,The Chiffons,"""He's So Fine""",4
27-Apr-63,Little Peggy March,"""I Will Follow Him""",3
18-May-63,Jimmy Soul,"""If You Wanna Be Happy""",2
1-Jun-63,Lesley Gore,"""It's My Party""",2
15-Jun-63,Kyu Sakamoto,"""Sukiyaki""",3
6-Jul-63,The Essex,"""Easier Said Than Done""",2
20-Jul-63,Jan and Dean,"""Surf City""",2
3-Aug-63,The Tymes,"""So Much in Love""",1
10-Aug-63,Little Stevie Wonder,"""Fingertips (pt. II)""",3
31-Aug-63,The Angels,"""My Boyfriend's Back""",3
21-Sep-63,Bobby Vinton,"""Blue Velvet""",3
12-Oct-63,Jimmy Gilmer and the Fireballs,"""Sugar Shack""? (1963)",5
16-Nov-63,Nino Tempo and April Stevens,"""Deep Purple""",1
23-Nov-63,Dale & Grace,"""I'm Leaving It Up to You""",2
7-Dec-63,The Singing Nun,"""Dominique""",4
4-Jan-64,Bobby Vinton,"""There! I've Said It Again""",4
1-Feb-64,The Beatles,"""I Want to Hold Your Hand""",7
21-Mar-64,The Beatles,"""She Loves You""",2
4-Apr-64,The Beatles,"""Can't Buy Me Love""",5
9-May-64,Louis Armstrong,"""Hello, Dolly!""",1
16-May-64,Mary Wells,"""My Guy""",2
30-May-64,The Beatles,"""Love Me Do""",1
6-Jun-64,The Dixie Cups,"""Chapel of Love""",3
27-Jun-64,Peter and Gordon,"""A World Without Love""",1
4-Jul-64,The Beach Boys,"""I Get Around""",2
18-Jul-64,The Four Seasons,"""Rag Doll""",2
1-Aug-64,The Beatles,"""A Hard Day's Night""",2
15-Aug-64,Dean Martin,"""Everybody Loves Somebody""",1
22-Aug-64,The Supremes,"""Where Did Our Love Go""",2
5-Sep-64,The Animals,"""The House of the Rising Sun""",3
26-Sep-64,Roy Orbison,"""Oh, Pretty Woman""",3
17-Oct-64,Manfred Mann,"""Do Wah Diddy Diddy""",2
31-Oct-64,The Supremes,"""Baby Love""",4
28-Nov-64,The Shangri-Las,"""Leader of the Pack""",1
5-Dec-64,Lorne Greene,"""Ringo""",1
12-Dec-64,Bobby Vinton,"""Mr. Lonely""",1
19-Dec-64,The Supremes,"""Come See About Me""",2
26-Dec-64,The Beatles,"""I Feel Fine""",3
23-Jan-65,Petula Clark,"""Downtown""",2
6-Feb-65,The Righteous Brothers,"""You've Lost That Lovin' Feelin'""",2
20-Feb-65,Gary Lewis & The Playboys,"""This Diamond Ring""",2
6-Mar-65,The Temptations,"""My Girl""",1
13-Mar-65,The Beatles,"""Eight Days a Week""",2
27-Mar-65,The Supremes,"""Stop! In the Name of Love""",2
10-Apr-65,Freddie and the Dreamers,"""I'm Telling You Now""",2
24-Apr-65,Wayne Fontana & The Mindbenders,"""Game of Love""",1
1-May-65,Herman's Hermits,"""Mrs. Brown, You've Got a Lovely Daughter""",3
22-May-65,The Beatles,"""Ticket to Ride""",1
29-May-65,The Beach Boys,"""Help Me Rhonda""",2
12-Jun-65,The Supremes,"""Back in My Arms Again""",1
19-Jun-65,Four Tops,"""I Can't Help Myself (Sugar Pie, Honey Bunch)""",2
26-Jun-65,The Byrds,"""Mr. Tambourine Man""",1
10-Jul-65,The Rolling Stones,"""(I Can't Get No) Satisfaction""",4
7-Aug-65,Herman's Hermits,"""I'm Henry VIII, I Am""",1
14-Aug-65,Sonny & Cher,"""I Got You Babe""",3
4-Sep-65,The Beatles,"""Help!""",3
25-Sep-65,Barry McGuire,"""Eve Of Destruction""",1
2-Oct-65,The McCoys,"""Hang On Sloopy""",1
9-Oct-65,The Beatles,"""Yesterday""",4
6-Nov-65,The Rolling Stones,"""Get Off of My Cloud""",2
20-Nov-65,The Supremes,"""I Hear a Symphony""",2
4-Dec-65,The Byrds,"""Turn! Turn! Turn!""",3
25-Dec-65,The Dave Clark Five,"""Over and Over""",1
1-Jan-66,Simon & Garfunkel,"""The Sound of Silence""",2
8-Jan-66,The Beatles,"""We Can Work It Out""",3
5-Feb-66,Petula Clark,"""My Love""",2
19-Feb-66,Lou Christie,"""Lightnin' Strikes""",1
26-Feb-66,Nancy Sinatra,"""These Boots Are Made for Walkin'""",1
5-Mar-66,Barry Sadler,"""The Ballad of the Green Berets""",5
9-Apr-66,The Righteous Brothers,"""(You're My) Soul And Inspiration""",3
30-Apr-66,Young Rascals,"""Good Lovin'""",1
7-May-66,The Mamas & the Papas,"""Monday, Monday""",3
28-May-66,Percy Sledge,"""When A Man Loves A Woman""",2
11-Jun-66,The Rolling Stones,"""Paint It Black""",2
25-Jun-66,The Beatles,"""Paperback Writer""",2
2-Jul-66,Frank Sinatra,"""Strangers In The Night""",1
16-Jul-66,Tommy James and the Shondells,"""Hanky Panky""",2
30-Jul-66,The Troggs,"""Wild Thing""",2
13-Aug-66,The Lovin' Spoonful,"""Summer in the City""",3
3-Sep-66,Donovan,"""Sunshine Superman""",1
10-Sep-66,The Supremes,"""You Can't Hurry Love""",2
24-Sep-66,The Association,"""Cherish""",3
15-Oct-66,Four Tops,"""Reach Out, I'll Be There""",2
29-Oct-66,? & the Mysterians,"""96 Tears""",1
5-Nov-66,The Monkees,"""Last Train to Clarksville""",1
12-Nov-66,Johnny Rivers,"""Poor Side Of Town""",1
19-Nov-66,The Supremes,"""You Keep Me Hangin' On""",2
3-Dec-66,The New Vaudeville Band,"""Winchester Cathedral""",3
10-Dec-66,The Beach Boys,"""Good Vibrations""",1
31-Dec-66,The Monkees,"""I'm a Believer""",7
18-Feb-67,The Buckinghams,"""Kind of a Drag""",2
4-Mar-67,The Rolling Stones,"""Ruby Tuesday""",1
11-Mar-67,The Supremes,"""Love Is Here and Now You're Gone""",1
18-Mar-67,The Beatles,"""Penny Lane""",1
25-Mar-67,The Turtles,"""Happy Together""",3
15-Apr-67,Nancy Sinatra and Frank Sinatra,"""Somethin' Stupid""",4
13-May-67,The Supremes,"""The Happening""",1
20-May-67,Young Rascals,"""Groovin'""",4
3-Jun-67,Aretha Franklin,"""Respect""",2
1-Jul-67,The Association,"""Windy""",4
29-Jul-67,The Doors,"""Light My Fire""",3
19-Aug-67,The Beatles,"""All You Need Is Love""",1
26-Aug-67,Bobbie Gentry,"""Ode to Billie Joe""",4
23-Sep-67,Box Tops,"""The Letter""",4
21-Oct-67,Lulu,"""To Sir With Love""",5
25-Nov-67,Strawberry Alarm Clock,"""Incense and Peppermints""",1
2-Dec-67,The Monkees,"""Daydream Believer""",4
30-Dec-67,The Beatles,"""Hello, Goodbye""",3
20-Jan-68,John Fred & His Playboy Band,"""Judy in Disguise (With Glasses)""",2
3-Feb-68,The Lemon Pipers,"""Green Tambourine""",1
10-Feb-68,Paul Mauriat,"""Love Is Blue""",5
16-Mar-68,Otis Redding,"""(Sittin' On) The Dock of the Bay""",4
13-Apr-68,Bobby Goldsboro,"""Honey""",5
18-May-68,Archie Bell & the Drells,"""Tighten Up""",2
1-Jun-68,Simon & Garfunkel,"""Mrs. Robinson""",3
22-Jun-68,Herb Alpert,"""This Guy's in Love with You""",4
20-Jul-68,Hugh Masekela,"""Grazing in the Grass""",2
3-Aug-68,The Doors,"""Hello, I Love You""",2
17-Aug-68,Young Rascals,"""People Got to Be Free""",5
21-Sep-68,Jeannie C. Riley,"""Harper Valley P.T.A.""",1
28-Sep-68,The Beatles,"""Hey Jude""",9
30-Nov-68,Diana Ross & the Supremes,"""Love Child""",2
14-Dec-68,Marvin Gaye,"""I Heard It Through the Grapevine""",7
1-Feb-69,Tommy James & the Shondells,"""Crimson and Clover""",2
15-Feb-69,Sly and the Family Stone,"""Everyday People""",4
15-Mar-69,Tommy Roe,"""Dizzy""",4
12-Apr-69,The 5th Dimension,"""Aquarius/Let the Sunshine In""",6
24-May-69,The Beatles with Billy Preston,"""Get Back""",5
28-Jun-69,Henry Mancini,"""Love Theme from Romeo and Juliet""",2
12-Jul-69,Zager and Evans,"""In the Year 2525""",6
23-Aug-69,The Rolling Stones,"""Honky Tonk Women""",4
20-Sep-69,The Archies,"""Sugar, Sugar""",4
18-Oct-69,The Temptations,"""I Can't Get Next To You""",2
1-Nov-69,Elvis Presley,"""Suspicious Minds""",1
8-Nov-69,The 5th Dimension,"""Wedding Bell Blues""",3
29-Nov-69,The Beatles,"""Come Together""/""Something""",1
6-Dec-69,Steam,"""Na Na Hey Hey Kiss Him Goodbye""",2
20-Dec-69,"Peter, Paul & Mary","""Leaving on a Jet Plane""",1
27-Dec-69,Diana Ross & the Supremes,"""Someday We'll Be Together""",1
