DateHitNumberOne,Artist,Song,WeeksAtNumberOne
15-Jan-00,Christina Aguilera,"""What a Girl Wants""",2
29-Jan-00,Savage Garden,"""I Knew I Loved You""",4
19-Feb-00,Mariah Carey featuring Joe and 98 Degrees,"""Thank God I Found You""",1
4-Mar-00,Lonestar,"""Amazed""",2
18-Mar-00,Destiny's Child,"""Say My Name""",3
8-Apr-00,Santana featuring The Product G&B,"""Maria Maria""",10
17-Jun-00,Aaliyah,"""Try Again""",1
24-Jun-00,Enrique Iglesias,"""Be With You""",3
15-Jul-00,Vertical Horizon,"""Everything You Want""",1
22-Jul-00,Matchbox Twenty,"""Bent""",1
29-Jul-00,'N Sync,"""It's Gonna Be Me""",2
12-Aug-00,Sisqó,"""Incomplete""",2
26-Aug-00,Janet Jackson,"""Doesn't Really Matter""",3
16-Sep-00,Madonna,"""Music""",4
14-Oct-00,Christina Aguilera,"""Come On Over Baby (All I Want Is You)""",4
11-Nov-00,Creed,"""With Arms Wide Open""",1
18-Nov-00,Destiny's Child,"""Independent Women""",11
3-Feb-01,Shaggy featuring Ricardo 'Rikrok' Ducent,"""It Wasn't Me""",2
17-Feb-01,Outkast,"""Ms. Jackson""",1
24-Feb-01,Joe featuring Mystikal,"""Stutter""",4
24-Mar-01,Crazy Town,"""Butterfly""",2
31-Mar-01,Shaggy featuring Rayvon,"""Angel""",1
14-Apr-01,Janet Jackson,"""All For You""",7
2-Jun-01,"Christina Aguilera, Lil' Kim, Mýa and Pink","""Lady Marmalade""",5
7-Jul-01,Usher,"""U Remind Me""",4
4-Aug-01,Destiny's Child,"""Bootylicious""",2
18-Aug-01,Alicia Keys,"""Fallin'""",6
8-Sep-01,Jennifer Lopez featuring Ja Rule,"""I'm Real""",5
3-Nov-01,Mary J. Blige,"""Family Affair""",6
15-Dec-01,Usher,"""U Got It Bad""",6
22-Dec-01,Nickelback,"""How You Remind Me""?(2002)",4
23-Feb-02,Ja Rule featuring Ashanti,"""Always on Time""",2
9-Mar-02,Jennifer Lopez featuring Ja Rule,"""Ain't It Funny""",6
20-Apr-02,Ashanti,"""Foolish""",10
29-Jun-02,Nelly,"""Hot in Herre""",7
17-Aug-02,Nelly featuring Kelly Rowland,"""Dilemma""",10
5-Oct-02,Kelly Clarkson,"""A Moment Like This""",2
9-Nov-02,Eminem,"""Lose Yourself""",12
1-Feb-03,B2K featuring P. Diddy,"""Bump, Bump, Bump""",1
8-Feb-03,Jennifer Lopez featuring LL Cool J,"""All I Have""",4
