DateHitNumberOne,Artist,Song,WeeksAtNumberOne
8-Mar-03,50 Cent,"""In Da Club""?",9
10-May-03,Sean Paul,"""Get Busy""",3
31-May-03,50 Cent featuring Nate Dogg,"""21 Questions""",4
28-Jun-03,Clay Aiken,"""This Is the Night""",2
12-Jul-03,Beyoncé featuring Jay-Z,"""Crazy in Love""",8
6-Sep-03,"Nelly, P. Diddy and Murphy Lee","""Shake Ya Tailfeather""",4
4-Oct-03,Beyoncé featuring Sean Paul,"""Baby Boy""",9
6-Dec-03,Ludacris featuring Shawnna,"""Stand Up""",1
13-Dec-03,Outkast,"""Hey Ya!""",9
14-Feb-04,Outkast featuring Sleepy Brown,"""The Way You Move""",1
21-Feb-04,Twista featuring Kanye West and Jamie Foxx,"""Slow Jamz""",1
28-Feb-04,Usher featuring Lil Jon and Ludacris,"""Yeah!""?",12
22-May-04,Usher,"""Burn""",8
10-Jul-04,Fantasia,"""I Believe""",1
24-Jul-04,Usher,"""Confessions Part II""",2
7-Aug-04,Juvenile featuring Soulja Slim,"""Slow Motion""",2
21-Aug-04,Terror Squad,"""Lean Back""",3
11-Sep-04,Ciara featuring Petey Pablo,"""Goodies""",7
30-Oct-04,Usher and Alicia Keys,"""My Boo""",6
11-Dec-04,Snoop Dogg featuring Pharrell,"""Drop It Like It's Hot""",3
1-Jan-05,Mario,"""Let Me Love You""",9
5-Mar-05,50 Cent featuring Olivia,"""Candy Shop""",9
7-May-05,Gwen Stefani,"""Hollaback Girl""",4
4-Jun-05,Mariah Carey,"""We Belong Together""?",14
2-Jul-05,Carrie Underwood,"""Inside Your Heaven""",1
17-Sep-05,Kanye West featuring Jamie Foxx,"""Gold Digger""",10
26-Nov-05,Chris Brown,"""Run It!""",5
31-Dec-05,Mariah Carey,"""Don't Forget About Us""",2
14-Jan-06,D4L,"""Laffy Taffy""",1
21-Jan-06,"Nelly featuring Paul Wall, Ali and Gipp","""Grillz""",2
4-Feb-06,Beyoncé featuring Slim Thug,"""Check on It""",5
11-Mar-06,James Blunt,"""You're Beautiful""",1
18-Mar-06,Ne-Yo,"""So Sick""",2
1-Apr-06,Sean Paul,"""Temperature""",1
8-Apr-06,Daniel Powter,"""Bad Day""?",5
13-May-06,Rihanna,"""SOS""",3
3-Jun-06,Chamillionaire featuring Krayzie Bone,"""Ridin'""",2
17-Jun-06,Shakira featuring Wyclef Jean,"""Hips Don't Lie""",2
1-Jul-06,Taylor Hicks,"""Do I Make You Proud""",1
8-Jul-06,Nelly Furtado featuring Timbaland,"""Promiscuous""",6
19-Aug-06,Fergie,"""London Bridge""",3
9-Sep-06,Justin Timberlake,"""SexyBack""",7
28-Oct-06,Ludacris featuring Pharrell Williams,"""Money Maker""",2
11-Nov-06,Justin Timberlake featuring T.I.,"""My Love""",3
2-Dec-06,Akon featuring Snoop Dogg,"""I Wanna Love You""",2
16-Dec-06,Beyoncé,"""Irreplaceable""? (2007)",10
24-Feb-07,Nelly Furtado,"""Say It Right""",1
3-Mar-07,Justin Timberlake,"""What Goes Around... Comes Around""",1
10-Mar-07,MIMS,"""This Is Why I'm Hot""",2
24-Mar-07,Fergie featuring Ludacris,"""Glamorous""",2
7-Apr-07,Akon,"""Don't Matter""",2
21-Apr-07,Timbaland featuring Nelly Furtado and Justin Timberlake,"""Give It To Me""",2
5-May-07,Avril Lavigne,"""Girlfriend""",1
12-May-07,Maroon 5,"""Makes Me Wonder""",3
26-May-07,T-Pain featuring Yung Joc,"""Buy U a Drank (Shawty Snappin')""",1
9-Jun-07,Rihanna featuring Jay-Z,"""Umbrella""",7
28-Jul-07,Plain White T's,"""Hey There Delilah""",2
11-Aug-07,Sean Kingston,"""Beautiful Girls""",4
8-Sep-07,Fergie,"""Big Girls Don't Cry""",1
15-Sep-07,Soulja Boy,"""Crank That (Soulja Boy)""",7
29-Sep-07,Kanye West,"""Stronger""",1
10-Nov-07,Chris Brown featuring T-Pain,"""Kiss Kiss""",3
1-Dec-07,Alicia Keys,"""No One""",5
5-Jan-08,Flo Rida featuring T-Pain,"""Low""?",10
15-Mar-08,Usher featuring Young Jeezy,"""Love in This Club""",3
5-Apr-08,Leona Lewis,"""Bleeding Love""",4
12-Apr-08,Mariah Carey,"""Touch My Body""",2
3-May-08,Lil Wayne featuring Static Major,"""Lollipop""",5
24-May-08,Rihanna,"""Take a Bow""",1
28-Jun-08,Coldplay,"""Viva la Vida""",1
5-Jul-08,Katy Perry,"""I Kissed a Girl""",7
23-Aug-08,Rihanna,"""Disturbia""",2
6-Sep-08,T.I.,"""Whatever You Like""",7
27-Sep-08,Pink,"""So What""",1
18-Oct-08,T.I. featuring Rihanna,"""Live Your Life""",6
25-Oct-08,Britney Spears,"""Womanizer""",1
13-Dec-08,Beyoncé,"""Single Ladies (Put a Ring on It)""",4
17-Jan-09,Lady Gaga featuring Colby O'Donis,"""Just Dance""",3
7-Feb-09,Kelly Clarkson,"""My Life Would Suck Without You""",2
21-Feb-09,Eminem featuring Dr. Dre and 50 Cent,"""Crack a Bottle""",1
28-Feb-09,Flo Rida,"""Right Round""",6
11-Apr-09,Lady Gaga,"""Poker Face""",1
18-Apr-09,The Black Eyed Peas,"""Boom Boom Pow""?",12
11-Jul-09,The Black Eyed Peas,"""I Gotta Feeling""",14
17-Oct-09,Jay Sean featuring Lil Wayne,"""Down""",2
24-Oct-09,Britney Spears,"""3""",1
7-Nov-09,Owl City,"""Fireflies""",2
14-Nov-09,Jason Derülo,"""Whatcha Say""",1
28-Nov-09,Jay-Z featuring Alicia Keys,"""Empire State of Mind""",5
