DateHitNumberOne,Artist,Song,WeeksAtNumberOne
1-Aug-87,Bob Seger,"""Shakedown""",1
8-Aug-87,U2,"""I Still Haven't Found What I'm Looking For""",2
22-Aug-87,Madonna,"""Who's That Girl""",1
29-Aug-87,Los Lobos,"""La Bamba""",3
19-Sep-87,Michael Jackson with Siedah Garrett,"""I Just Can't Stop Loving You""",1
26-Sep-87,Whitney Houston,"""Didn't We Almost Have It All""",2
10-Oct-87,Whitesnake,"""Here I Go Again""",1
17-Oct-87,Lisa Lisa and Cult Jam,"""Lost in Emotion""",1
24-Oct-87,Michael Jackson,"""Bad""",2
7-Nov-87,Tiffany,"""I Think We're Alone Now""",2
21-Nov-87,Billy Idol,"""Mony Mony""",1
28-Nov-87,Bill Medley and Jennifer Warnes,"""(I've Had) The Time of My Life""",1
5-Dec-87,Belinda Carlisle,"""Heaven Is a Place on Earth""",1
12-Dec-87,George Michael,"""Faith""? (1988)",4
9-Jan-88,Whitney Houston,"""So Emotional""",1
16-Jan-88,George Harrison,"""Got My Mind Set on You""",1
23-Jan-88,Michael Jackson,"""The Way You Make Me Feel""",1
30-Jan-88,INXS,"""Need You Tonight""",1
6-Feb-88,Tiffany,"""Could've Been""",2
20-Feb-88,Exposé,"""Seasons Change""",1
27-Feb-88,George Michael,"""Father Figure""",2
12-Mar-88,Rick Astley,"""Never Gonna Give You Up""",2
26-Mar-88,Michael Jackson,"""Man in the Mirror""",2
9-Apr-88,Billy Ocean,"""Get Outta My Dreams, Get into My Car""",2
23-Apr-88,Whitney Houston,"""Where Do Broken Hearts Go""",2
7-May-88,Terence Trent D'Arby,"""Wishing Well""",1
14-May-88,Gloria Estefan and Miami Sound Machine,"""Anything for You""",2
28-May-88,George Michael,"""One More Try""",3
18-Jun-88,Rick Astley,"""Together Forever""",1
25-Jun-88,Debbie Gibson,"""Foolish Beat""",1
2-Jul-88,Michael Jackson,"""Dirty Diana""",1
9-Jul-88,Cheap Trick,"""The Flame""",2
23-Jul-88,Richard Marx,"""Hold On to the Nights""",1
30-Jul-88,Steve Winwood,"""Roll with It""",4
27-Aug-88,George Michael,"""Monkey""",2
10-Sep-88,Guns N' Roses,"""Sweet Child o' Mine""",2
24-Sep-88,Bobby McFerrin,"""Don't Worry, Be Happy""",2
8-Oct-88,Def Leppard,"""Love Bites""",1
15-Oct-88,UB40,"""Red Red Wine""",1
22-Oct-88,Phil Collins,"""A Groovy Kind of Love""",2
5-Nov-88,The Beach Boys,"""Kokomo""",1
12-Nov-88,The Escape Club,"""Wild, Wild West""",1
19-Nov-88,Bon Jovi,"""Bad Medicine""",2
3-Dec-88,Will to Power,"""Baby, I Love Your Way / Freebird Medley (Free Baby)""",1
10-Dec-88,Chicago,"""Look Away""? (1989)",2
24-Dec-88,Poison,"""Every Rose Has Its Thorn""",3
14-Jan-89,Bobby Brown,"""My Prerogative""",1
21-Jan-89,Phil Collins,"""Two Hearts""",2
4-Feb-89,Sheriff,"""When I'm with You""",1
11-Feb-89,Paula Abdul,"""Straight Up""",3
4-Mar-89,Debbie Gibson,"""Lost in Your Eyes""",3
25-Mar-89,Mike + The Mechanics,"""The Living Years""",1
1-Apr-89,The Bangles,"""Eternal Flame""",1
8-Apr-89,Roxette,"""The Look""",1
15-Apr-89,Fine Young Cannibals,"""She Drives Me Crazy""",1
22-Apr-89,Madonna,"""Like a Prayer""",3
13-May-89,Bon Jovi,"""I'll Be There for You""",1
20-May-89,Paula Abdul,"""Forever Your Girl""",2
3-Jun-89,Michael Damian,"""Rock On""",1
10-Jun-89,Bette Midler,"""Wind Beneath My Wings""",1
17-Jun-89,New Kids on the Block,"""I'll Be Loving You (Forever)""",1
24-Jun-89,Richard Marx,"""Satisfied""",1
1-Jul-89,Milli Vanilli,"""Baby Don't Forget My Number""",1
8-Jul-89,Fine Young Cannibals,"""Good Thing""",1
15-Jul-89,Simply Red,"""If You Don't Know Me by Now""",1
22-Jul-89,Martika,"""Toy Soldiers""",2
5-Aug-89,Prince,"""Batdance""",1
12-Aug-89,Richard Marx,"""Right Here Waiting""",3
2-Sep-89,Paula Abdul,"""Cold Hearted""",1
9-Sep-89,New Kids on the Block,"""Hangin' Tough""",1
16-Sep-89,Gloria Estefan,"""Don't Wanna Lose You""",1
23-Sep-89,Milli Vanilli,"""Girl I'm Gonna Miss You""",2
7-Oct-89,Janet Jackson,"""Miss You Much""",4
4-Nov-89,Roxette,"""Listen to Your Heart""",1
11-Nov-89,Bad English,"""When I See You Smile""",2
25-Nov-89,Milli Vanilli,"""Blame It on the Rain""",2
9-Dec-89,Billy Joel,"""We Didn't Start the Fire""",2
23-Dec-89,Phil Collins,"""Another Day in Paradise""",4
