DateHitNumberOne,Artist,Song,WeeksAtNumberOne
5-Jan-80,KC and the Sunshine Band,"""Please Don't Go""",1
19-Jan-80,Michael Jackson,"""Rock with You""",4
16-Feb-80,Captain & Tennille,"""Do That to Me One More Time""",1
23-Feb-80,Queen,"""Crazy Little Thing Called Love""",4
22-Mar-80,Pink Floyd,"""Another Brick in the Wall (Part 2)""",4
19-Apr-80,Blondie,"""Call Me""? (1980)",6
31-May-80,Lipps Inc,"""Funkytown""",4
28-Jun-80,Paul McCartney,"""Coming Up (Live at Glasgow)""",3
19-Jul-80,Billy Joel,"""It's Still Rock and Roll to Me""",2
2-Aug-80,Olivia Newton-John,"""Magic""",4
30-Aug-80,Christopher Cross,"""Sailing""",1
6-Sep-80,Diana Ross,"""Upside Down""",4
4-Oct-80,Queen,"""Another One Bites the Dust""",3
25-Oct-80,Barbra Streisand,"""Woman in Love""",3
15-Nov-80,Kenny Rogers,"""Lady""",6
27-Dec-80,John Lennon,"""(Just Like) Starting Over""",5
31-Jan-81,Blondie,"""The Tide Is High""",1
7-Feb-81,Kool & the Gang,"""Celebration""",2
21-Feb-81,Dolly Parton,"""9 to 5""",2
28-Feb-81,Eddie Rabbitt,"""I Love a Rainy Night""",2
21-Mar-81,REO Speedwagon,"""Keep On Loving You""",1
28-Mar-81,Blondie,"""Rapture""",2
11-Apr-81,Daryl Hall and John Oates,"""Kiss on My List""",3
2-May-81,Sheena Easton,"""Morning Train (Nine to Five)""",2
16-May-81,Kim Carnes,"""Bette Davis Eyes""? (1981)",9
20-Jun-81,Stars on 45,"""Medley: Intro Venus / Sugar Sugar / No Reply / I'll Be Back / Drive My Car /Do You Want to Know a Secret / We Can Work It Out / I Should Have Known Better / Nowhere Man / You're Going to Lose That Girl / Stars on 45""",1
25-Jul-81,Air Supply,"""The One That You Love""",1
1-Aug-81,Rick Springfield,"""Jessie's Girl""",2
15-Aug-81,Diana Ross and Lionel Richie,"""Endless Love""",9
17-Oct-81,Christopher Cross,"""Arthur's Theme (Best That You Can Do)""",3
7-Nov-81,Daryl Hall and John Oates,"""Private Eyes""",2
21-Nov-81,Olivia Newton-John,"""Physical""? (1982)",10
30-Jan-82,Daryl Hall and John Oates,"""I Can't Go for That (No Can Do)""",1
6-Feb-82,The J. Geils Band,"""Centerfold""",6
20-Mar-82,Joan Jett and the Blackhearts,"""I Love Rock 'n' Roll""",7
8-May-82,Vangelis,"""Chariots of Fire""",1
15-May-82,Paul McCartney and Stevie Wonder,"""Ebony and Ivory""",7
3-Jul-82,The Human League,"""Don't You Want Me""",3
24-Jul-82,Survivor,"""Eye of the Tiger""",6
4-Sep-82,Steve Miller Band,"""Abracadabra""",2
11-Sep-82,Chicago,"""Hard to Say I'm Sorry""",2
2-Oct-82,John Cougar,"""Jack and Diane""",4
30-Oct-82,Men at Work,"""Who Can It Be Now""",1
6-Nov-82,Joe Cocker and Jennifer Warnes,"""Up Where We Belong""",3
27-Nov-82,Lionel Richie,"""Truly""",2
11-Dec-82,Toni Basil,"""Mickey""",1
18-Dec-82,Daryl Hall and John Oates,"""Maneater""",4
15-Jan-83,Men at Work,"""Down Under""",4
5-Feb-83,Toto,"""Africa""",1
19-Feb-83,Patti Austin and James Ingram,"""Baby, Come to Me""",2
5-Mar-83,Michael Jackson,"""Billie Jean""",7
23-Apr-83,Dexys Midnight Runners,"""Come On Eileen""",1
30-Apr-83,Michael Jackson,"""Beat It""",3
21-May-83,David Bowie,"""Let's Dance""",1
28-May-83,Irene Cara,"""Flashdance... What a Feeling""",6
9-Jul-83,The Police,"""Every Breath You Take""? (1983)",8
3-Sep-83,Eurythmics,"""Sweet Dreams (Are Made of This)""",1
10-Sep-83,Michael Sembello,"""Maniac""",2
24-Sep-83,Billy Joel,"""Tell Her About It""",1
1-Oct-83,Bonnie Tyler,"""Total Eclipse of the Heart""",4
29-Oct-83,Kenny Rogers with Dolly Parton,"""Islands in the Stream""",2
12-Nov-83,Lionel Richie,"""All Night Long (All Night)""",4
10-Dec-83,Paul McCartney and Michael Jackson,"""Say, Say, Say""",6
21-Jan-84,Yes,"""Owner of a Lonely Heart""",2
4-Feb-84,Culture Club,"""Karma Chameleon""",3
25-Feb-84,Van Halen,"""Jump""",5
31-Mar-84,Kenny Loggins,"""Footloose""",3
21-Apr-84,Phil Collins,"""Against All Odds (Take a Look at Me Now)""",3
12-May-84,Lionel Richie,"""Hello""",2
26-May-84,Deniece Williams,"""Let's Hear It for the Boy""",2
9-Jun-84,Cyndi Lauper,"""Time After Time""",2
23-Jun-84,Duran Duran,"""The Reflex""",2
7-Jul-84,Prince,"""When Doves Cry""? (1984)",5
11-Aug-84,"Ray Parker, Jr.","""Ghostbusters""",3
1-Sep-84,Tina Turner,"""What's Love Got to Do with It""",3
22-Sep-84,John Waite,"""Missing You""",1
29-Sep-84,Prince and The Revolution,"""Let's Go Crazy""",2
13-Oct-84,Stevie Wonder,"""I Just Called to Say I Love You""",3
3-Nov-84,Billy Ocean,"""Caribbean Queen (No More Love on the Run)""",2
17-Nov-84,Wham!,"""Wake Me Up Before You Go-Go""",3
8-Dec-84,Daryl Hall and John Oates,"""Out of Touch""",2
22-Dec-84,Madonna,"""Like a Virgin""",6
2-Feb-85,Foreigner,"""I Want to Know What Love Is""",2
16-Feb-85,Wham! featuring George Michael,"""Careless Whisper""? (1985)",3
9-Mar-85,REO Speedwagon,"""Can't Fight This Feeling""",3
30-Mar-85,Phil Collins,"""One More Night""",2
13-Apr-85,USA for Africa,"""We Are the World""",4
11-May-85,Madonna,"""Crazy for You""",1
18-May-85,Simple Minds,"""Don't You (Forget About Me)""",1
25-May-85,Wham!,"""Everything She Wants""",2
8-Jun-85,Tears for Fears,"""Everybody Wants to Rule the World""",2
22-Jun-85,Bryan Adams,"""Heaven""",2
6-Jul-85,Phil Collins,"""Sussudio""",1
13-Jul-85,Duran Duran,"""A View to a Kill""",2
27-Jul-85,Paul Young,"""Everytime You Go Away""",1
3-Aug-85,Tears for Fears,"""Shout""",3
24-Aug-85,Huey Lewis and the News,"""The Power of Love""",2
7-Sep-85,John Parr,"""St. Elmo's Fire (Man in Motion)""",2
21-Sep-85,Dire Straits,"""Money for Nothing""",3
12-Oct-85,Ready for the World,"""Oh Sheila""",1
19-Oct-85,a-ha,"""Take On Me""",1
26-Oct-85,Whitney Houston,"""Saving All My Love for You""",1
2-Nov-85,Stevie Wonder,"""Part-Time Lover""",1
9-Nov-85,Jan Hammer,"""Miami Vice Theme""",1
16-Nov-85,Starship,"""We Built This City""",2
30-Nov-85,Phil Collins and Marilyn Martin,"""Separate Lives""",1
7-Dec-85,Mr. Mister,"""Broken Wings""",2
21-Dec-85,Lionel Richie,"""Say You, Say Me""",4
18-Jan-86,Dionne Warwick,"""That's What Friends Are For""? (1986)",4
15-Feb-86,Whitney Houston,"""How Will I Know""",2
1-Mar-86,Mr. Mister,"""Kyrie""",2
15-Mar-86,Starship,"""Sara""",1
22-Mar-86,Heart,"""These Dreams""",1
29-Mar-86,Falco,"""Rock Me Amadeus""",3
19-Apr-86,Prince and the Revolution,"""Kiss""",2
3-May-86,Robert Palmer,"""Addicted to Love""",1
10-May-86,Pet Shop Boys,"""West End Girls""",1
17-May-86,Whitney Houston,"""Greatest Love of All""",3
7-Jun-86,Madonna,"""Live to Tell""",1
14-Jun-86,Patti LaBelle and Michael McDonald,"""On My Own""",3
5-Jul-86,Billy Ocean,"""There'll Be Sad Songs (To Make You Cry)""",1
12-Jul-86,Simply Red,"""Holding Back the Years""",1
19-Jul-86,Genesis,"""Invisible Touch""",1
26-Jul-86,Peter Gabriel,"""Sledgehammer""",1
2-Aug-86,Peter Cetera,"""Glory of Love""",2
16-Aug-86,Madonna,"""Papa Don't Preach""",2
30-Aug-86,Steve Winwood,"""Higher Love""",1
6-Sep-86,Bananarama,"""Venus""",1
13-Sep-86,Berlin,"""Take My Breath Away""",1
20-Sep-86,Huey Lewis and the News,"""Stuck with You""",3
11-Oct-86,Janet Jackson,"""When I Think of You""",2
25-Oct-86,Cyndi Lauper,"""True Colors""",2
8-Nov-86,Boston,"""Amanda""",2
22-Nov-86,Human League,"""Human""",1
29-Nov-86,Bon Jovi,"""You Give Love a Bad Name""",1
6-Dec-86,Peter Cetera and Amy Grant,"""The Next Time I Fall""",1
13-Dec-86,Bruce Hornsby & the Range,"""The Way It Is""",1
20-Dec-86,The Bangles,"""Walk Like an Egyptian""? (1987)",4
17-Jan-87,Gregory Abbott,"""Shake You Down""",1
24-Jan-87,Billy Vera and the Beaters,"""At This Moment""",2
7-Feb-87,Madonna,"""Open Your Heart""",1
14-Feb-87,Bon Jovi,"""Livin' on a Prayer""",4
14-Mar-87,Huey Lewis and the News,"""Jacob's Ladder""",1
21-Mar-87,Club Nouveau,"""Lean on Me""",2
4-Apr-87,Starship,"""Nothing's Gonna Stop Us Now""",2
18-Apr-87,Aretha Franklin and George Michael,"""I Knew You Were Waiting (for Me)""",2
2-May-87,Cutting Crew,"""(I Just) Died in Your Arms""",2
16-May-87,U2,"""With or Without You""",3
6-Jun-87,Kim Wilde,"""You Keep Me Hangin' On""",1
13-Jun-87,Atlantic Starr,"""Always""",1
20-Jun-87,Lisa Lisa and Cult Jam,"""Head to Toe""",1
27-Jun-87,Whitney Houston,"""I Wanna Dance with Somebody (Who Loves Me)""",2
11-Jul-87,Heart,"""Alone""",3
