Artist,Song,WeeksAtNumberOne,Song ID,Song Popularity,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence,Tempo,Instrumentalness,Loudness
The Rolling Stones,"""(I Can't Get No) Satisfaction""",4,6x7XTxs6pE1OuimqK7JJ7p,34.0,0.0161,0.343,0.974,0.357,0.0952,0.324,131.177,0.575,-4.113
Otis Redding,"""(Sittin' On) The Dock of the Bay""",4,5iJ82Q8TgyA0i5WGdgnL0A,4.0,0.14,0.51,0.724,0.152,0.0328,0.598,105.002,0.879,-8.367
The Righteous Brothers,"""(You're My) Soul And Inspiration""",3,1Mcoepzm9uZ3nayQLy1O7E,0.0,0.331,0.527,0.566,0.0988,0.0272,0.366,92.07,1.78e-06,-6.427
? & the Mysterians,"""96 Tears""",1,2OFLNihLjoH4pubiYMf4xu,17.0,0.52,0.608,0.701,0.213,0.0523,0.898,71.785,0.000253,-8.016
Elvis Presley,"""A Big Hunk o' Love""",2,4OXR5PiY95zKeXVLfTUpXD,9.0,0.648,0.558,0.841,0.26,0.0478,0.951,87.026,0.47,-10.891
The Beatles,"""A Hard Day's Night""",2,,,,,,,,,,,
Peter and Gordon,"""A World Without Love""",1,3oWNqBFvMvwuH5e2wBbbjA,0.0,0.217,0.508,0.714,0.112,0.0605,0.797,130.142,0,-8.314
The Beatles,"""All You Need Is Love""",1,3iHNFIyAqaGfZji4PqAqY8,15.0,0.0107,0.658,0.803,0.0744,0.0291,0.76,106.033,9.74e-05,-7.337
Hollywood Argyles,"""Alley-Oop""",1,52V64jmagNUNwMf5BUUM9z,2.0,0.849,0.647,0.454,0.212,0.0545,0.88,64.56,0,-9.954
The 5th Dimension,"""Aquarius/Let the Sunshine In""",6,0y960lWPuHuSZT4yzjlccv,22.0,0.3,0.266,0.895,0.954,0.0871,0.419,93.034,0.00803,-7.103
Elvis Presley,"""Are You Lonesome Tonight?""",6,26kehKmcBgE1mJ3DR48vE7,21.0,0.901,0.415,0.369,0.924,0.177,0.413,132.779,0.00622,-18.137
The Supremes,"""Baby Love""",4,2VYAJD4NUIa1dcxwsLs549,21.0,0.374,0.521,0.616,0.134,0.045,0.483,135.624,0,-5.691
The Supremes,"""Back in My Arms Again""",1,2FvRtgh5n9PjNnlwjN3d0T,13.0,0.0623,0.722,0.834,0.0663,0.0293,0.694,121.229,0.00354,-1.316
Jimmy Dean,"""Big Bad John""",5,2BDaa0bsIUHsWg5QkHmBSz,15.0,0.653,0.669,0.177,0.0987,0.237,0.375,131.521,0,-18.313
The Four Seasons,"""Big Girls Don't Cry""",5,4x6ii5oZKpCpricWUiDjyA,27.0,0.362,0.435,0.482,0.501,0.0337,0.82,137.862,0.000172,-9.11
The Marcels,"""Blue Moon""",3,1OlZd5lAOzheZjPasnZhfc,0.0,0.283,0.364,0.48,0.633,0.0329,0.462,141.914,1.95e-06,-10.999
Bobby Vinton,"""Blue Velvet""",3,10kUQ80qgLHzif8vFomDTE,0.0,0.443,0.52,0.333,0.121,0.0266,0.525,81.498,0.000105,-14.849
Neil Sedaka,"""Breaking Up Is Hard to Do""",2,03l4fGD810g4F2PHEnSRh8,18.0,0.685,0.712,0.873,0.068,0.039,0.962,116.39,0,-4.224
Lawrence Welk,"""Calcutta""",2,35rLx95Da45UdnfJrOjmTQ,0.0,0.878,0.536,0.685,0.606,0.0294,0.916,83.209,0.956,-12.029
The Beatles,"""Can't Buy Me Love""",5,4MOOxZXuvhz2y9wxdoRrce,21.0,0.229,0.539,0.434,0.0739,0.0387,0.804,104.869,1.32e-06,-8.523
The Everly Brothers,"""Cathy's Clown""",5,58u8JljC1OxhjFoh9D7HeT,2.0,0.579,0.508,0.537,0.137,0.0339,0.886,120.109,0,-11.392
The Dixie Cups,"""Chapel of Love""",3,1oYt8zIxjmus5ytW4ZqgI3,16.0,0.511,0.612,0.449,0.431,0.0333,0.777,116.953,0,-9.134
The Association,"""Cherish""",3,0LxHy1lX3itDztIEX3dIoG,5.0,0.776,0.51,0.544,0.144,0.0282,0.598,110.197,0,-8.308
The Supremes,"""Come See About Me""",2,74bmZif9fnprB5eugxgmvc,8.0,0.652,0.727,0.482,0.157,0.0392,0.869,126.317,0,-11.738
The Fleetwoods,"""Come Softly to Me""",4,4MszoBMW2yFxHFEHmjXmiT,22.0,0.855,0.597,0.0863,0.278,0.0289,0.437,99.336,0,-19.167
The Beatles,"""Come Together""/""Something""",1,,,,,,,,,,,
Tommy James & the Shondells,"""Crimson and Clover""",2,5sOeJlcVO4oEYR3QKzbJmO,20.0,0.142,0.501,0.883,0.126,0.0851,0.639,121.993,0.0142,-9.753
The Monkees,"""Daydream Believer""",4,1CQTjY9AD7p4AdRB3ad6mt,9.0,0.248,0.662,0.799,0.356,0.107,0.789,118.01,0,-5.79
