Artist,Song,WeeksAtNumberOne,Song ID,Song Popularity,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence,Tempo,Instrumentalness,Loudness
Cutting Crew,"""(I Just) Died in Your Arms""",2,478xCQvEhGmMVWvbqFY80b,15.0,0.0901,0.478,0.869,0.0768,0.0783,0.38,125.164,1.68e-05,-6.991
Bill MedleyÂ andÂ Jennifer Warnes,"""(I've Had) The Time of My Life""",1,0EY7Nl6it6YFb6GtxwY3w4,0.0,0.238,0.387,0.683,0.22,0.0415,0.174,106.871,0.277,-10.204
John Lennon,"""(Just Like) Starting Over""",5,49T5PjnJNZAx0BsuV2e40G,1.0,0.903,0.591,0.282,0.0869,0.0325,0.272,148.276,0.697,-13.111
Dolly Parton,"""9 to 5""",2,5PQOIflzV81tWs1vU398cl,27.0,0.468,0.674,0.618,0.0798,0.048,0.688,170.449,0,-7.315
Phil Collins,"""A Groovy Kind of Love""",2,1jV8qbPI1wqtfj6pOqELm1,0.0,0.327,0.559,0.212,0.059,0.0297,0.167,139.965,0.0264,-13.691
Duran Duran,"""A View to a Kill""",2,0a4df7qSyrRx7v6hcuc85F,7.0,0.926,0.472,0.0175,0.104,0.0377,0.145,148.021,0.893,-27.922
Steve Miller Band,"""Abracadabra""",2,2I9akvmhrjTJo5Tvx1rlzs,14.0,0.628,0.717,0.651,0.0824,0.0444,0.854,133.072,0,-10.543
Robert Palmer,"""Addicted to Love""",1,2td95l8XAq6RwA82R3oWvR,16.0,0.165,0.708,0.523,0.0281,0.0292,0.978,111.547,1.13e-05,-12.796
Toto,"""Africa""",1,3poNOeOqLvJT8Mgfb5xHNP,24.0,0.2,0.682,0.635,0.0502,0.0308,0.712,92.749,0.000315,-7.659
Phil Collins,"""Against All Odds (Take a Look at Me Now)""",3,4i5jPTezkJqjpDbI6q6VKB,0.0,0.484,0.656,0.275,0.102,0.0403,0.229,116.003,0.931,-13.454
Lionel Richie,"""All Night Long (All Night)""",4,6DqX8eW3Gl0VN5NnFvzBFH,19.0,0.0999,0.727,0.605,0.0427,0.0478,0.801,108.822,0.000434,-11.461
Heart,"""Alone""",3,0h17TpfCKbbib1J37Qgj7r,34.0,0.732,0.407,0.621,0.0901,0.0337,0.17,175.387,0.00192,-6.371
Atlantic Starr,"""Always""",1,612g7Yu0lVeOa9N8g0hy0G,8.0,0.399,0.606,0.534,0.356,0.0256,0.328,130.945,0.000973,-6.758
Boston,"""Amanda""",2,0MKvkmCAGDThJ9o2StSJLK,2.0,0.173,0.443,0.614,0.11,0.0295,0.274,125.384,4.36e-06,-6.522
Pink Floyd,"""Another Brick in the Wall (Part 2)""",4,5e89ujPO9o3Ov7kblDvQN3,4.0,0.186,0.707,0.283,0.141,0.0377,0.231,104.009,0.811,-15.873
Phil Collins,"""Another Day in Paradise""",4,2pENJ3ggIokO0AbmA1jdB0,11.0,0.976,0.648,0.173,0.251,0.0306,0.338,94.985,0.731,-13.965
Queen,"""Another One Bites the Dust""",3,45mhiVPUphR25oRJ4UEgDz,30.0,0.0337,0.757,0.912,0.487,0.101,0.342,111.817,0.0547,-5.658
Gloria EstefanÂ andÂ Miami Sound Machine,"""Anything for You""",2,,,,,,,,,,,
Christopher Cross,"""Arthur's Theme (Best That You Can Do)""",3,19rRvJ3so2b7uyZj0CObW8,0.0,0.118,0.537,0.491,0.138,0.0268,0.252,135.809,0.492,-11.901
Billy Vera and the Beaters,"""At This Moment""",2,1O9D3yLSRQegkblAtJ2Q9d,0.0,0.316,0.588,0.335,0.157,0.0284,0.197,88.16,0.351,-9.833
Milli Vanilli,"""Baby Don't Forget My Number""",1,5AXAoOQW5H4RCYUWQdlOWN,0.0,0.00129,0.772,0.725,0.077,0.0534,0.644,100.003,0.723,-9.47
Patti AustinÂ andÂ James Ingram,"""Baby, Come to Me""",2,,,,,,,,,,,
Will to Power,"""Baby, I Love Your Way / Freebird Medley (Free Baby)""",1,,,,,,,,,,,
Bon Jovi,"""Bad Medicine""",2,0t2YWhdyq1k4GgShnkgTEP,24.0,0.0293,0.505,0.943,0.973,0.0464,0.699,119.777,0,-3.306
Michael Jackson,"""Bad""",2,5OoRmdDfAiDztSwrhe7wuE,60.0,0.464,0.749,0.546,0.126,0.103,0.454,105.232,0.00191,-7.217
Prince,"""Batdance""",1,3RiBTAUfQqBajVtfQ7jjb2,0.0,0.00103,0.546,0.416,0.108,0.0447,0.536,110.013,0.354,-8.493
Michael Jackson,"""Beat It""",3,3ejjvP4oU6RoyiK9xZ5lwU,38.0,0.0293,0.533,0.688,0.474,0.0725,0.956,138.981,9.72e-05,-6.166
Kim Carnes,"""Bette Davis Eyes""?Â (1981)",9,5VpMNb7yFb8ub66CpabHdi,0.0,0.143,0.706,0.321,0.111,0.0346,0.606,112.117,0.919,-13.53
Michael Jackson,"""Billie Jean""",7,0v7V8WiBhaFfPzgwsATMim,31.0,0.951,0.854,0.151,0.0653,0.156,0.975,116.019,0.929,-17.654
Milli Vanilli,"""Blame It on the Rain""",2,0MFSJ6pDn1FiLBkrsBBFIH,0.0,0.000196,0.682,0.857,0.0931,0.0759,0.5,194.998,0.866,-8.121
Mr. Mister,"""Broken Wings""",2,1MP2aXPjtNOKh6n1cAc25H,22.0,0.0833,0.283,0.657,0.136,0.0353,0.376,97.995,1.67e-05,-8.556
Blondie,"""Call Me""?Â (1980)",6,,,,,,,,,,,
REO Speedwagon,"""Can't Fight This Feeling""",3,3ZWiBTGwBolslqVpxgDn7e,25.0,0.0848,0.324,0.593,0.156,0.028,0.238,156.335,7.09e-05,-7.136
Wham!Â featuringÂ George Michael,"""Careless Whisper""?Â (1985)",3,,,,,,,,,,,
Billy Ocean,"""Caribbean Queen (No More Love on the Run)""",2,0YSvO4drgxdcDZwiiaOqhe,0.0,0.0186,0.791,0.491,0.0536,0.0311,0.91,113.889,0.276,-9.869
Kool & the Gang,"""Celebration""",2,1pJzCEbsnc3W2Su7TM6rfA,18.0,0.097,0.838,0.858,0.0693,0.0508,0.942,121.593,0.0107,-4.714
The J. Geils Band,"""Centerfold""",6,67LHRaIPoTMgvyCa5kaA3O,17.0,0.211,0.67,0.851,0.386,0.0405,0.917,114.175,0,-6.076
Vangelis,"""Chariots of Fire""",1,22Wf9YYD5Tt2000G3cn5PM,22.0,0.852,0.168,0.356,0.0907,0.0346,0.0484,137.81,0.754,-10.784
Paula Abdul,"""Cold Hearted""",1,46EVSFGObROmpV4ahhwxTn,0.0,0.0159,0.87,0.333,0.0242,0.0406,0.836,124.484,0.0155,-17.264
Dexys Midnight Runners,"""Come On Eileen""",1,6cN0FAoHEShRvTLKmCF4VB,13.0,0.205,0.424,0.699,0.0731,0.0358,0.908,107.575,0,-7.315
Paul McCartney,"""Coming Up (Live at Glasgow)""",3,0Ix1999mTT1A3TF6Bywgv5,3.0,0.147,0.578,0.751,0.627,0.0366,0.684,137.023,0.000499,-7.803
Tiffany,"""Could've Been""",2,4Oi7TXZMgL5k4SY3r1u16w,0.0,0.4,0.428,0.359,0.154,0.029,0.234,96.045,0.00717,-8.008
Queen,"""Crazy Little Thing Called Love""",4,2KDORvMVlXYBLPPD4fSlDs,30.0,0.688,0.6,0.613,0.217,0.0482,0.75,76.75,0,-12.302
Madonna,"""Crazy for You""",1,5ZausAqi2X6bQi5I0Dg92L,0.0,0.659,0.619,0.513,0.0664,0.0286,0.519,96.386,4.89e-06,-10.267
