Title,Artist,Peak_Position,Song ID,Song Popularity,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence,Tempo,Instrumentalness,Loudness
(There's) Always Something There To Remind Me,Lou Johnson,49,1zc9G4b4zbRptS59Lg8VZu,22.0,0.47200000000000003,0.574,0.469,0.0742,0.0621,0.746,77.801,0.0,-8.163
(Today I Met) The Boy I'm Gonna Marry,Darlene Love,39,26PFBxZ1Dhub2pFSolM70v,0.0,0.0024,0.531,0.612,0.14400000000000002,0.0308,0.805,91.40799999999999,0.8540000000000001,-10.357000000000001
(What A Sad Way) To Love Someone,Ral Donner,74,3oAO6ML8c5BaxDV5MyrWlM,0.0,0.87,0.603,0.32799999999999996,0.106,0.0285,0.45899999999999996,79.35300000000001,0.000169,-11.817
(You Can't Let The Boy Overpower) The Man In You,The Miracles,59,48homoFh1wmurhJTF86l5A,3.0,0.386,0.5870000000000001,0.546,0.27699999999999997,0.0294,0.748,94.999,0.0,-8.341000000000001
(You Don't Know) How Glad I Am,Nancy Wilson,11,76DYqAyIQU6dQ5vZEnWSUO,9.0,0.8320000000000001,0.39,0.424,0.345,0.0335,0.606,49.824,0.000175,-10.135
(You Were Made For) All My Love,Jackie Wilson,12,5OPGXC7ixg9TsRI5NKn5xj,6.0,0.929,0.34,0.39399999999999996,0.0706,0.0321,0.552,119.00399999999999,0.000152,-8.706
(You've Got To) Move Two Mountains,Marv Johnson,20,0DpHNzahddr6xXNG4qYXeD,1.0,0.685,0.73,0.727,0.13699999999999998,0.0473,0.955,130.30700000000002,2.7699999999999996e-05,-7.909
-twistin'-White Silver Sands,Bill Black's Combo,92,29ToQEOqMOHK1NA47YV3Yg,1.0,0.0979,0.8140000000000001,0.132,0.142,0.152,0.884,117.979,0.633,-21.776999999999997
16 Candles,The Crests,2,4MCaKCnmJe3RWiu0zic1tD,22.0,0.757,0.441,0.39799999999999996,0.0906,0.0278,0.49700000000000005,110.475,0.0,-9.552
18 Yellow Roses,Bobby Darin,10,4AwnEyKHRHY6UupSIwjnxQ,11.0,0.675,0.5870000000000001,0.163,0.0939,0.0927,0.451,120.12700000000001,0.0,-14.95
20-75,Willie Mitchell,31,2gr4981WimaLxM3468aLfi,1.0,0.545,0.698,0.807,0.8240000000000001,0.039,0.9670000000000001,132.553,0.8420000000000001,-8.499
31 Flavors,The Shirelles,97,1aPxgxmssjzfbEgs0Djcck,10.0,0.29600000000000004,0.6759999999999999,0.41100000000000003,0.305,0.0353,0.915,131.215,0.0,-9.735
409,The Beach Boys,76,1J91M9Pn3JxaQ1MdzpVS85,6.0,0.807,0.469,0.389,0.34,0.0327,0.86,158.696,0.0,-14.482999999999999
442 Glenwood Avenue,The Pixies Three,56,3TM1QULjDxKK1y7rpaeYUJ,1.0,0.7190000000000001,0.682,0.726,0.0798,0.0358,0.961,131.226,0.0,-8.52
500 Miles Away From Home,Bobby Bare,10,7mTvhUKvFpnD4BLXgBeyNO,9.0,0.741,0.49700000000000005,0.33799999999999997,0.121,0.031,0.5870000000000001,106.12,0.0,-11.075999999999999
8 X 10,Bill Anderson,53,6jBVvMPO6c973N2ay6qRar,0.0,0.0772,0.47200000000000003,0.379,0.215,0.027000000000000003,0.41600000000000004,94.87700000000001,0.000669,-9.235
A Boy Without A Girl,Frankie Avalon,10,1lnMvhEBpJh8pmoE7WUvgw,2.0,0.889,0.52,0.196,0.10300000000000001,0.0266,0.35,98.881,1.01e-06,-14.409
A Certain Girl,Ernie K-Doe,71,4PNWcTJBvMIZYg5gJXtqH7,2.0,0.696,0.816,0.62,0.14300000000000002,0.043,0.9470000000000001,130.06799999999998,0.0,-10.769
A Certain Smile,Johnny Mathis,22,7EEUel3lIYOKoz1vwvF14n,0.0,0.24600000000000002,0.45899999999999996,0.16,0.109,0.027999999999999997,0.228,90.05799999999999,0.47200000000000003,-18.027
A Closer Walk,Pete Fountain,93,2jGguPOHqILxjoNKUa25RR,1.0,0.728,0.5429999999999999,0.188,0.0674,0.0281,0.345,110.208,0.38299999999999995,-12.46
A Cottage For Sale,Little Willie John,63,2AkiRderNqfD0qCvtBxSVZ,5.0,0.6779999999999999,0.32299999999999995,0.28800000000000003,0.19899999999999998,0.0821,0.317,96.24700000000001,0.0,-11.955
A Dollar Down,The Limeliters,60,5x1zltt9aKa6mg62tAY4De,1.0,0.6459999999999999,0.7709999999999999,0.7390000000000001,0.0737,0.0864,0.867,104.704,7.92e-05,-5.5889999999999995
A Fine Fine Boy,Darlene Love,53,2Xh25mq7BHjv2G8sEJWwgJ,2.0,0.177,0.40399999999999997,0.8170000000000001,0.165,0.0579,0.498,147.629,4.61e-06,-4.368
A Fool In Love,Ike & Tina Turner,27,00DEuDzqLTC0GSAuIVrKPv,1.0,0.7020000000000001,0.698,0.6729999999999999,0.436,0.0678,0.868,115.484,0.0176,-9.907
A Fool Never Learns,Andy Williams,13,4bplm3X0WOKij7fV4Pofe0,4.0,0.757,0.29600000000000004,0.61,0.268,0.0425,0.7490000000000001,198.37400000000002,1.04e-05,-11.879000000000001
A Girl Has To Know,The G-Clefs,81,7H80lsAuAWJuBCElJB8SyN,0.0,0.7809999999999999,0.48,0.204,0.195,0.0332,0.485,90.06,4.95e-06,-14.255999999999998
A Girl's Work Is Never Done,The Chordettes,89,7KcB8PH8CeKvnLBFxODGlf,24.0,0.785,0.637,0.963,0.14,0.217,0.972,123.929,0.00041900000000000005,-5.324
A House Is Not A Home,Dionne Warwick,71,7he3TKYjL0vycx90SEufb6,1.0,0.5539999999999999,0.331,0.419,0.9590000000000001,0.0597,0.371,70.865,0.0057,-14.383
"A House, A Car And A Wedding Ring",Dale Hawkins,88,7lZh0ZVppr0HH9t7k7wMqJ,3.0,0.743,0.489,0.252,0.22,0.0348,0.366,113.37100000000001,2.32e-06,-12.149000000000001
A Hundred Pounds Of Clay,Gene McDaniels,3,4Fy9ZGSFRX3TD7DOQN15NJ,0.0,0.0419,0.736,0.484,0.225,0.0329,0.598,129.045,0.14800000000000002,-13.055
A Letter From Betty,Bobby Vee,85,514dJooiPZvtIHrpYSDgK6,15.0,0.706,0.40299999999999997,0.624,0.684,0.0496,0.823,84.898,0.0,-10.352
A Letter To The Beatles,The Four Preps,85,0plC6iWLWj47wldCTc3oWs,11.0,0.73,0.531,0.6759999999999999,0.0993,0.0412,0.885,144.958,0.0,-9.942
A Little Bit Of Soap,The Jarmels,12,5djE4RT3I0r4DNQqGdDNED,0.0,0.204,0.716,0.504,0.33299999999999996,0.0566,0.813,136.69899999999998,0.00134,-10.155
A Little Bitty Tear,Burl Ives,9,2DfkdstT2vlmGhyp4SBkrQ,4.0,0.89,0.684,0.319,0.0905,0.166,0.606,101.741,0.0,-13.401
A Little Bitty Tear,Wanda Jackson,84,66YWW38eL8tt1xZql1KH4e,2.0,0.696,0.38,0.7170000000000001,0.32899999999999996,0.0886,0.909,140.384,2.15e-06,-11.013
A Little Dog Cried,Jimmie Rodgers,71,5wAp4WLK435brIzG2qVLQi,1.0,0.981,0.43799999999999994,0.11,0.10300000000000001,0.0434,0.344,65.006,0.135,-26.549
A Little Feeling (Called Love),Jack Scott,91,4YDV8fPzCCpghxuy0beu4P,6.0,0.5760000000000001,0.47600000000000003,0.16399999999999998,0.10300000000000001,0.0303,0.247,70.12,0.000439,-13.843
A Little Too Much,Clarence Henry,77,27Iit0kCpobHouAgwjU9zS,6.0,0.693,0.693,0.611,0.146,0.0338,0.893,114.697,0.0,-8.333
A Love Of My Own,Carla Thomas,56,1cPWk6et76vQtau910L8K0,0.0,0.8029999999999999,0.24,0.353,0.322,0.0302,0.47,186.988,0.00134,-8.744
A Love She Can Count On,The Miracles,31,4RSCWK3Uqm6exx1qUe8ZCP,3.0,0.205,0.636,0.415,0.154,0.0299,0.718,115.736,0.0,-10.26
A Love So Fine,The Chiffons,40,3t93biM4W3MK8rP12tqiue,0.0,0.0237,0.733,0.696,0.0755,0.0419,0.7809999999999999,142.905,0.102,-8.138
A Lover's Prayer,Dion & The Belmonts,73,2tcrbhSlKCv6bciZEy1BGE,16.0,0.895,0.423,0.24600000000000002,0.0877,0.0288,0.213,141.076,0.0,-11.049000000000001
A Lover's Question,Clyde McPhatter,6,316eKJbyVfRMMLEojRBsR1,4.0,0.883,0.6709999999999999,0.434,0.0605,0.0583,0.94,83.03399999999999,1.12e-05,-11.692
A Miracle,Frankie Avalon,75,2dClz0QgYj4dtfCuGWR4VN,2.0,0.888,0.41,0.33899999999999997,0.078,0.0284,0.18899999999999997,94.484,0.0,-10.219
A Perfect Love,Frankie Avalon,47,3BxbuYZwG3woiRRkTqPObs,0.0,0.677,0.5,0.586,0.155,0.0266,0.7020000000000001,126.23299999999999,0.0005769999999999999,-7.992000000000001
A Prayer And A Juke Box,Little Anthony And The Imperials,81,3wYyRwpw79T08ugT5XHLkN,9.0,0.674,0.423,0.301,0.086,0.0327,0.46799999999999997,102.852,0.0,-14.698
A Quiet Place,Garnet Mimms & The Enchanters,78,34YeqxJZBuKNzlv26sRlhR,20.0,0.174,0.633,0.41,0.268,0.0379,0.733,105.70299999999999,0.0,-11.825999999999999
A Rockin' Good Way (To Mess Around And Fall In Love),Dinah Washington & Brook Benton,7,4ydSzWwxqtNdP4VPfQe8bf,19.0,0.845,0.7879999999999999,0.52,0.17800000000000002,0.0528,0.96,130.224,2.94e-05,-10.837
A Steel Guitar And A Glass Of Wine,Paul Anka,13,201vInUnsADT2Ki8wKS1lr,0.0,0.111,0.787,0.878,0.0862,0.0374,0.981,123.978,0.841,-5.14
A String Of Trumpets,The Trumpeteers,64,3RuZnnBgjgOIZdnYKqcSOE,1.0,0.647,0.62,0.75,0.109,0.0527,0.951,145.128,0.359,-5.202999999999999
A Summer Song,Chad & Jeremy,7,5QdkhR3MSMQRqbsW14KUXZ,9.0,0.657,0.769,0.44299999999999995,0.0909,0.0514,0.8959999999999999,124.689,0.0,-14.173
A Sunday Kind Of Love,Jan & Dean,95,5jiM4IeoXcEpUFNLiVWwy3,3.0,0.434,0.565,0.53,0.18899999999999997,0.0315,0.961,113.25299999999999,5.11e-05,-11.709000000000001
A Taste Of Honey,Tony Bennett,94,6CHOdLWgNevS0W40IUbp8V,0.0,0.7490000000000001,0.28600000000000003,0.134,0.23199999999999998,0.0299,0.223,101.777,0.586,-9.312000000000001
A Tear,Gene McDaniels,31,6KSKhTnzU9lMixPhF9WYkd,1.0,0.669,0.635,0.27399999999999997,0.10300000000000001,0.032,0.514,109.285,0.0,-11.425
A Teenager Feels It Too,Denny Reed,94,6KSK0rTYgnh3mrOwL47fB7,0.0,0.78,0.639,0.39899999999999997,0.217,0.0308,0.8909999999999999,124.292,0.0,-11.387
