Artist,Song,WeeksAtNumberOne,Song ID,Song Popularity,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence,Tempo,Instrumentalness,Loudness
Meghan Trainor,"""All About That Bass""",8,3CVvJ33EFRnfYQuTwg05xq,5.0,0.0524,0.839,0.61,0.0929,0.102,0.944,133.971,4.13e-05,-10.077
John Legend,"""All of Me""",3,3rKvSHAmZ28B33JCTVnsu3,27.0,0.918,0.298,0.219,0.933,0.0356,0.367,81.624,0,-10.106
Taylor Swift featuringÂ Kendrick Lamar,"""Bad Blood""",1,,,,,,,,,,,
MigosÂ featuringÂ Lil Uzi Vert,"""Bad and Boujee""",3,,,,,,,,,,,
Rae SremmurdÂ featuringÂ Gucci Mane,"""Black Beatles""",7,,,,,,,,,,,
Wiz Khalifa,"""Black and Yellow""",1,0hEaifxnO2m2odcJoZ0F7y,0.0,0.0499,0.704,0.593,0.284,0.0878,0.536,81.988,0,-10.555
Taylor Swift,"""Blank Space""",7,1kTALvdinaxTiGxg8aCYA5,6.0,0.916,0.428,0.092,0.185,0.0381,0.424,173.851,0.937,-19.362
Robin ThickeÂ featuringÂ T.I.Â andÂ Pharrell,"""Blurred Lines""",12,,,,,,,,,,,
Cardi B,"""Bodak Yellow (Money Moves)""",3,4gHxHAEcaIvlMY4dm2FF58,2.0,0.0242,0.653,0.538,0.0687,0.0423,0.588,125.037,0,-13.198
Lady Gaga,"""Born This Way""",6,11BKm0j4eYoCPPpCONAVwA,48.0,0.0107,0.591,0.637,0.113,0.03,0.432,99.998,1.95e-06,-6.365
Taio CruzÂ featuringÂ Ludacris,"""Break Your Heart""",1,,,,,,,,,,,
Katy PerryÂ featuringÂ Snoop Dogg,"""California Gurls""",6,,,,,,,,,,,
Carly Rae Jepsen,"""Call Me Maybe""",9,1tjauR3eTjH1ICcwdptid3,13.0,0.00269,0.4,0.997,0.0404,0.256,0.107,120.126,0.166,-3.61
The Weeknd,"""Can't Feel My Face""",3,2z4TT0DuHtb0oaga4coskA,7.0,0.0706,0.752,0.565,0.0673,0.0367,0.623,108.045,0,-6.788
Macklemore and Ryan Lewis featuringÂ Ray Dalton,"""Can't Hold Us""",5,,,,,,,,,,,
Justin Timberlake,"""Can't Stop the Feeling!""",1,2sr6TTgu2YbQVN0D4qm5H5,12.0,0.0141,0.775,0.597,0.0748,0.0751,0.613,112.994,0,-8.465
SiaÂ featuringÂ Sean Paul,"""Cheap Thrills""",4,,,,,,,,,,,
OMI,"""Cheerleader""",6,3F54TAXWrYALVTCjc63XGn,19.0,0.19,0.774,0.682,0.151,0.0299,0.616,118.014,4.62e-05,-6.108
The ChainsmokersÂ featuringÂ Halsey,"""Closer""",12,,,,,,,,,,,
Katy Perry featuringÂ Juicy J,"""Dark Horse""",4,,,,,,,,,,,
Luis FonsiÂ andÂ Daddy YankeeÂ featuring Justin Bieber,"""Despacito""",16,,,,,,,,,,,
Rihanna,"""Diamonds""",3,6VQPKhtBB80wU99OKYjFFd,27.0,0.815,0.708,0.123,0.0923,0.108,0.859,184.012,0.208,-16.891
Katy Perry featuringÂ Kanye West,"""E.T.""",5,,,,,,,,,,,
Iggy AzaleaÂ featuringÂ Charli XCX,"""Fancy""",7,,,,,,,,,,,
Katy Perry,"""Firework""",4,3rRVin6FiTufCASEuTNVYM,25.0,0.147,0.629,0.883,0.153,0.0794,0.396,124.168,0,-4.547
Maroon 5 featuring Cardi B,"""Girls Like You""",6,,,,,,,,,,,
"PitbullÂ featuringÂ Ne-Yo,Â AfrojackÂ andÂ Nayer","""Give Me Everything""",1,,,,,,,,,,,
Drake,"""God's Plan""",11,1Y10paKahc9LnYi5UUGZle,2.0,0.0294,0.893,0.514,0.0877,0.199,0.529,154.503,0.897,-11.402
Bruno Mars,"""Grenade""",4,5mG3waKhGHKECq4za3n144,19.0,0.904,0.368,0.418,0.108,0.0428,0.281,176.336,0,-5.051
Pharrell Williams,"""Happy""",10,1X9NVfPMpopapXyLoZrSCD,8.0,0.291,0.662,0.757,0.0885,0.144,0.962,159.945,0,-6.818
Baauer,"""Harlem Shake""",5,4HdbNJzCSVOPBD4J4M60o3,0.0,0.474,0.859,0.534,0.0494,0.148,0.883,140.032,0.00532,-10.74
Camila CabelloÂ featuringÂ Young Thug,"""Havana""",1,,,,,,,,,,,
Adele,"""Hello""",10,54ehQ7kIrIYpyUnbtZNFVm,6.0,0.786,0.125,0.175,0.11,0.0412,0.161,159.112,0.804,-16.588
Britney Spears,"""Hold It Against Me""",1,6vJgZ0rjxtIwRojlhC969e,12.0,0.00197,0.74,0.811,0.0915,0.043,0.538,129.008,0.00219,-4.813
Kendrick Lamar,"""Humble""",1,,,,,,,,,,,
"Cardi B,Â Bad BunnyÂ andÂ J Balvin","""I Like It""",1,,,,,,,,,,,
"DJ KhaledÂ featuring Justin Bieber,Â Quavo,Â Chance the RapperÂ andÂ Lil Wayne","""I'm the One""",1,,,,,,,,,,,
The Black Eyed Peas,"""Imma Be""",2,2Ce0dpKXL8O1UfkRQKR4oz,0.0,0.895,0.629,0.234,0.113,0.217,0.485,92.001,0.921,-14.567
Drake,"""In My Feelings""",10,1Cq90YY5A9kFF3jnGPx62v,5.0,0.00356,0.701,0.391,0.145,0.168,0.284,182.05,0.898,-14.219
Pink featuringÂ Nate Ruess,"""Just Give Me a Reason""",3,,,,,,,,,,,
Bruno Mars,"""Just the Way You Are""",4,51JVdtQ3Rj7txjrADpsPMe,15.0,0.977,0.486,0.474,0.108,0.0463,0.0399,114.999,0.913,-10.794
Katy Perry,"""Last Friday Night (T.G.I.F.)""",2,7M4A4tD2DDgOcMxMPBinqd,21.0,0.00125,0.652,0.812,0.667,0.0409,0.72,126.023,3.01e-05,-3.797
Far East MovementÂ featuringÂ The CataracsÂ andÂ Dev,"""Like a G6""",3,,,,,,,,,,,
Bruno Mars,"""Locked Out of Heaven""",6,110vMSMLjkZqSoWLUqSTJx,5.0,0.337,0.25,0.235,0.0934,0.0367,0.212,137.718,0.905,-13.881
Taylor Swift,"""Look What You Made Me Do""",3,3RrT2YCvVVv1IsEBvCdZtv,1.0,0.949,0.611,0.367,0.137,0.065,0.0415,100.011,0.818,-11.456
Justin Bieber,"""Love Yourself""?Â [80]",2,,,,,,,,,,,
Eminem featuring Rihanna,"""Love the Way You Lie""",7,,,,,,,,,,,
Maroon 5Â featuringÂ Christina Aguilera,"""Moves Like Jagger""",4,,,,,,,,,,,
Drake,"""Nice for What""",8,5FTAHnoc6UvTN2ZgVWOMzE,4.0,0.0506,0.773,0.78,0.114,0.0766,0.779,93.527,0,-8.235
Eminem,"""Not Afraid""",1,5bawi6c1IMQRrXBEaSfyon,10.0,0.987,0.54,0.122,0.119,0.0521,0.277,172.037,0.957,-21.677
B.o.BÂ featuringÂ Bruno Mars,"""Nothin' on You""",2,,,,,,,,,,,
UsherÂ featuringÂ will.i.am,"""OMG""",4,,,,,,,,,,,
Drake featuringÂ WizKidÂ andÂ Kyla,"""One Dance""",10,,,,,,,,,,,
Maroon 5,"""One More Night""",9,2U0N9PsZ1JHCI0MgaINWb9,6.0,0.872,0.733,0.218,0.0598,0.0421,0.287,74.161,0.562,-11.978
Rihanna,"""Only Girl (In the World)""",1,4cODTuAGOGALsU4agCbEaw,3.0,0.755,0.907,0.3,0.163,0.0598,0.639,125.941,0.0303,-14.114
Desiigner,"""Panda""",2,4DHm82ssTGPXI1WkyxkoLz,2.0,0.0241,0.705,0.452,0.341,0.311,0.108,145.484,4.7e-06,-11.03
Katy Perry,"""Part of Me""",1,3cOn0EkQKKnSIhz86wXgmX,6.0,0.711,0.752,0.387,0.187,0.0337,0.428,129.981,0.263,-13.339
LMFAOÂ featuringÂ Lauren BennettÂ andÂ GoonRock,"""Party Rock Anthem""",6,,,,,,,,,,,
Ed Sheeran solo or duet withÂ BeyoncÃ©1,"""Perfect""",6,,,,,,,,,,,
Zayn,"""Pillowtalk""",1,,,,,,,,,,,
Post Malone featuringÂ Ty Dolla Sign,"""Psycho""",1,,,,,,,,,,,
Pink,"""Raise Your Glass""",1,3K5aJrnfG6fGipLqbbprQl,14.0,0.964,0.405,0.575,0.119,0.0434,0.162,141.028,0.843,-9.267
Katy Perry,"""Roar""",2,7iOWEu7oyN6CTm4H2Gzivq,4.0,0.924,0.363,0.255,0.0999,0.0313,0.202,77.282,1.27e-05,-12.348
Post MaloneÂ featuringÂ 21 Savage,"""Rockstar""",8,,,,,,,,,,,
Adele,"""Rolling in the Deep""",7,5kghT4IGWvoWK65HayhfkF,8.0,0.867,0.383,0.229,0.0874,0.0317,0.405,98.969,0.826,-14.407
Lorde,"""Royals""",9,75oGHGYG4igAhSFaEy8zDK,1.0,0.473,0.639,0.582,0.362,0.0785,0.473,170.159,0.762,-5.612
Rihanna,"""Rude Boy""",5,5NL8vjRKAP2kj3plVMVfp5,0.0,0.794,0.775,0.28,0.0971,0.0376,0.785,87.058,0.812,-14.65
Magic!,"""Rude""",6,,,,,,,,,,,
Rihanna featuring Britney Spears[26],"""S&M""",1,,,,,,,,,,,
XXXTentacion,"""Sad!""",1,,,,,,,,,,,
