DateHitNumberOne,Artist,Song,WeeksAtNumberOne
23-Dec-17,Ed Sheeran solo or duet with Beyoncé1,"""Perfect""",6
27-Jan-18,Camila Cabello featuring Young Thug,"""Havana""",1
3-Feb-18,Drake,"""God's Plan""",11
21-Apr-18,Drake,"""Nice for What""",8
19-May-18,Childish Gambino,"""This Is America""",2
16-Jun-18,Post Malone featuring Ty Dolla Sign,"""Psycho""",1
30-Jun-18,XXXTentacion,"""Sad!""",1
7-Jul-18,"Cardi B, Bad Bunny and J Balvin","""I Like It""",1
21-Jul-18,Drake,"""In My Feelings""",10
29-Sep-18,Maroon 5 featuring Cardi B,"""Girls Like You""",6
