DateHitNumberOne,Artist,Song,WeeksAtNumberOne
2-Jan-10,Kesha,"""Tik Tok""",9
6-Mar-10,The Black Eyed Peas,"""Imma Be""",2
20-Mar-10,Taio Cruz featuring Ludacris,"""Break Your Heart""",1
27-Mar-10,Rihanna,"""Rude Boy""",5
1-May-10,B.o.B featuring Bruno Mars,"""Nothin' on You""",2
15-May-10,Usher featuring will.i.am,"""OMG""",4
22-May-10,Eminem,"""Not Afraid""",1
19-Jun-10,Katy Perry featuring Snoop Dogg,"""California Gurls""",6
31-Jul-10,Eminem featuring Rihanna,"""Love the Way You Lie""",7
18-Sep-10,Katy Perry,"""Teenage Dream""",2
2-Oct-10,Bruno Mars,"""Just the Way You Are""",4
30-Oct-10,Far East Movement featuring The Cataracs and Dev,"""Like a G6""",3
13-Nov-10,Kesha,"""We R Who We R""",1
20-Nov-10,Rihanna featuring Drake,"""What's My Name?""",1
4-Dec-10,Rihanna,"""Only Girl (In the World)""",1
11-Dec-10,Pink,"""Raise Your Glass""",1
18-Dec-10,Katy Perry,"""Firework""",4
8-Jan-11,Bruno Mars,"""Grenade""",4
29-Jan-11,Britney Spears,"""Hold It Against Me""",1
19-Feb-11,Wiz Khalifa,"""Black and Yellow""",1
26-Feb-11,Lady Gaga,"""Born This Way""",6
9-Apr-11,Katy Perry featuring Kanye West,"""E.T.""",5
30-Apr-11,Rihanna featuring Britney Spears[26],"""S&M""",1
21-May-11,Adele,"""Rolling in the Deep""",7
9-Jul-11,"Pitbull featuring Ne-Yo, Afrojack and Nayer","""Give Me Everything""",1
16-Jul-11,LMFAO featuring Lauren Bennett and GoonRock,"""Party Rock Anthem""",6
27-Aug-11,Katy Perry,"""Last Friday Night (T.G.I.F.)""",2
10-Sep-11,Maroon 5 featuring Christina Aguilera,"""Moves Like Jagger""",4
17-Sep-11,Adele,"""Someone Like You""",5
12-Nov-11,Rihanna featuring Calvin Harris,"""We Found Love""",10
7-Jan-12,LMFAO,"""Sexy and I Know It""",2
4-Feb-12,Adele,"""Set Fire to the Rain""",2
18-Feb-12,Kelly Clarkson,"""Stronger (What Doesn't Kill You)""",3
3-Mar-12,Katy Perry,"""Part of Me""",1
17-Mar-12,Fun featuring Janelle Monáe,"""We Are Young""",6
28-Apr-12,Gotye featuring Kimbra,"""Somebody That I Used to Know""",8
23-Jun-12,Carly Rae Jepsen,"""Call Me Maybe""",9
25-Aug-12,Flo Rida,"""Whistle""",2
1-Sep-12,Taylor Swift,"""We Are Never Ever Getting Back Together""",3
29-Sep-12,Maroon 5,"""One More Night""",9
1-Dec-12,Rihanna,"""Diamonds""",3
22-Dec-12,Bruno Mars,"""Locked Out of Heaven""",6
2-Feb-13,Macklemore & Ryan Lewis featuring Wanz,"""Thrift Shop""",6
2-Mar-13,Baauer,"""Harlem Shake""",5
20-Apr-13,Bruno Mars,"""When I Was Your Man""",1
27-Apr-13,Pink featuring Nate Ruess,"""Just Give Me a Reason""",3
18-May-13,Macklemore and Ryan Lewis featuring Ray Dalton,"""Can't Hold Us""",5
22-Jun-13,Robin Thicke featuring T.I. and Pharrell,"""Blurred Lines""",12
14-Sep-13,Katy Perry,"""Roar""",2
28-Sep-13,Miley Cyrus,"""Wrecking Ball""",3
12-Oct-13,Lorde,"""Royals""",9
21-Dec-13,Eminem featuring Rihanna,"""The Monster""",4
18-Jan-14,Pitbull featuring Kesha,"""Timber""",3
8-Feb-14,Katy Perry featuring Juicy J,"""Dark Horse""",4
8-Mar-14,Pharrell Williams,"""Happy""",10
17-May-14,John Legend,"""All of Me""",3
7-Jun-14,Iggy Azalea featuring Charli XCX,"""Fancy""",7
26-Jul-14,Magic!,"""Rude""",6
6-Sep-14,Taylor Swift,"""Shake It Off""",4
20-Sep-14,Meghan Trainor,"""All About That Bass""",8
29-Nov-14,Taylor Swift,"""Blank Space""",7
17-Jan-15,Mark Ronson featuring Bruno Mars,"""Uptown Funk""",14
25-Apr-15,Wiz Khalifa featuring Charlie Puth,"""See You Again""",12
6-Jun-15,Taylor Swift featuring Kendrick Lamar,"""Bad Blood""",1
25-Jul-15,OMI,"""Cheerleader""",6
22-Aug-15,The Weeknd,"""Can't Feel My Face""",3
19-Sep-15,Justin Bieber,"""What Do You Mean?""",1
3-Oct-15,The Weeknd,"""The Hills""",6
14-Nov-15,Adele,"""Hello""",10
23-Jan-16,Justin Bieber,"""Sorry""",3
13-Feb-16,Justin Bieber,"""Love Yourself""? [80]",2
20-Feb-16,Zayn,"""Pillowtalk""",1
5-Mar-16,Rihanna featuring Drake,"""Work""",9
7-May-16,Desiigner,"""Panda""",2
21-May-16,Drake featuring WizKid and Kyla,"""One Dance""",10
28-May-16,Justin Timberlake,"""Can't Stop the Feeling!""",1
6-Aug-16,Sia featuring Sean Paul,"""Cheap Thrills""",4
3-Sep-16,The Chainsmokers featuring Halsey,"""Closer""",12
26-Nov-16,Rae Sremmurd featuring Gucci Mane,"""Black Beatles""",7
7-Jan-17,The Weeknd featuring Daft Punk,"""Starboy""",1
21-Jan-17,Migos featuring Lil Uzi Vert,"""Bad and Boujee""",3
28-Jan-17,Ed Sheeran,"""Shape of You""",12
6-May-17,Kendrick Lamar,"""Humble""",1
13-May-17,Bruno Mars,"""That's What I Like""",1
20-May-17,"DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne","""I'm the One""",1
27-May-17,Luis Fonsi and Daddy Yankee featuring Justin Bieber,"""Despacito""",16
16-Sep-17,Taylor Swift,"""Look What You Made Me Do""",3
7-Oct-17,Cardi B,"""Bodak Yellow (Money Moves)""",3
28-Oct-17,Post Malone featuring 21 Savage,"""Rockstar""",8
